StageTitle,"創建您的第一個遠端儲存庫"
Story Background/Content/Story,"您是一位學生，在 '專案管理' 課程的後半部分。
老師要求學生們分成幾個組別，在 Git 服務平台上開發一款應用程式。

您與組員們決定開發一款 '貪吃蛇' 遊戲，
團隊將運用版本控制的知識和技術來提升開發效率。

為了讓團隊可以共同參與開發，
請試著在 Git 服務平台上創建一個新的遠端儲存庫。
然後將它複製到本地電腦中，以準備開發內容吧。"
Stage Quest/1,"開啟 '檔案管理' 視窗"
Stage Quest/2,"開啟 '網頁瀏覽器' 視窗"
Stage Quest/3,"進入 '創建儲存庫' 頁面"
Stage Quest/4,"創建一個遠端儲存庫"
Stage Quest/5,"複製遠端儲存庫到本地設備中"
Stage Quest/6,"確認複製後的專案是否連接到對應的遠端儲存庫中"
CommitHistoryData/File data/ListFileName/0,"準備.txt"
CommitHistoryData/File data/ListLocation/0,"準備.txt"
CommitHistoryData/File data/ListContent/0,"為了順利開發 '貪吃蛇' 遊戲，我們需要先創建一個遠端儲存庫\n創建完成後，將儲存庫複製到這個路徑下吧"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/File data/ListContent/2,"# snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game"
CommitHistoryData/File data/ListLocation/2,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/3,"snake-game\.git"
CommitHistoryData/File data/ListFileName/1,"snake-game"
CommitHistoryData/File data/ListFileName/2,"README.md"
