StageTitle,"Git 暫存區域的進階操作"
Story Background/Content/Story,"您是一位熱愛遊戲開發的學生，最近正在開發一款新遊戲。
遊戲專案包含了多個資料夾，用於組織不同類型的檔案。
由於檔案較多，備份檔案的方式會導致整個專案變得雜亂。

最後，您決定使用 Git 來管理專案，以保持開發過程的流暢。
現在，就請您先將需要管理的檔案全部推入 '暫存區域' 中吧。"
Stage Quest/1,"開啟 '檔案管理' 視窗"
Stage Quest/2,"開啟 '暫存區域' 視窗"
Stage Quest/3,"達成 '需求文件.txt' 的內容後，確認 '暫存區域' 狀態"
DefaultData/File data/ListContent/0,"我在專案中新建了 Git 管理系統\n為了初始化專案，我需要將大部分的檔案都放入 '暫存區域'\n<color=#CF001C>除了 '暫存資料' 資料夾中的檔案</color>以外都要放入"
DefaultData/File data/ListFileName/0,"需求文件.txt"
DefaultData/File data/ListLocation/0,"需求文件.txt"
DefaultData/File data/ListFileName/1,"遊戲專案"
DefaultData/File data/ListLocation/1,"遊戲專案"
DefaultData/File data/ListFileName/2,"圖片"
DefaultData/File data/ListLocation/2,"遊戲專案\圖片"
DefaultData/File data/ListFileName/3,"程式"
DefaultData/File data/ListLocation/3,"遊戲專案\程式"
DefaultData/File data/ListFileName/4,"暫存資料"
DefaultData/File data/ListLocation/4,"遊戲專案\暫存資料"
DefaultData/File data/ListContent/5,"圖片名稱\n圖片內容"
DefaultData/File data/ListFileName/5,"圖片A.png"
DefaultData/File data/ListLocation/5,"遊戲專案\圖片\圖片A.png"
DefaultData/File data/ListContent/6,"圖片名稱\n圖片內容"
DefaultData/File data/ListFileName/6,"圖片B.png"
DefaultData/File data/ListLocation/6,"遊戲專案\圖片\圖片B.png"
DefaultData/File data/ListContent/7,"遊戲開始\n分數計算\n遊戲結算"
DefaultData/File data/ListFileName/7,"主程式.cs"
DefaultData/File data/ListLocation/7,"遊戲專案\程式\主程式.cs"
DefaultData/File data/ListContent/8,"字串轉數字\n搜尋關鍵字\n儲存玩家記錄"
DefaultData/File data/ListFileName/8,"輔助工具.cs"
DefaultData/File data/ListLocation/8,"遊戲專案\程式\輔助工具.cs"
DefaultData/File data/ListContent/9,"457VxPUkaIKS4jeQ\nByMmOl3i3nuc80Qp\nGfaSPB3qPajIhutO"
DefaultData/File data/ListFileName/9,"暫存A.cache"
DefaultData/File data/ListLocation/9,"遊戲專案\暫存資料\暫存A.cache"
DefaultData/File data/ListContent/10,"LbAfciEJZ5ANbarc\nTSwWjLAVYwDeS3Dj\nSOdqKeP6oQ1Jugqc"
DefaultData/File data/ListFileName/10,"暫存B.cache"
DefaultData/File data/ListLocation/10,"遊戲專案\暫存資料\暫存B.cache"
DefaultData/File data/ListLocation/11,"遊戲專案\.git"
Quest Tracker/StagingStatusData/ListLocation/0,"遊戲專案\圖片\圖片A.png"
Quest Tracker/StagingStatusData/ListLocation/1,"遊戲專案\圖片\圖片B.png"
Quest Tracker/StagingStatusData/ListLocation/2,"遊戲專案\程式\主程式.cs"
Quest Tracker/StagingStatusData/ListLocation/3,"遊戲專案\程式\輔助工具.cs"
Quest Tracker/StagingStatusData/ListLocation/4,"遊戲專案\暫存資料\暫存A.cache"
Quest Tracker/StagingStatusData/ListLocation/5,"遊戲專案\暫存資料\暫存B.cache"
