StageTitle,"Git 暫存區域的基礎操作"
Story Background/Content/Story,"您是一位剛學習 Git 系統的學生。
您在最近學習到了 '暫存區域' 的概念，
然而對於指令的操作還是不太熟悉。

您將 '會員資料.csv' 成功移動到 '暫存區域' 中。
但是由於隱私問題，這份文件不應該保存在 Git 管理系統中。

現在，請您將所有需要保存的檔案放入 '暫存區域' 中吧。"
Stage Quest/1,"開啟 '命令行' 視窗"
Stage Quest/2,"確認 '暫存區域' 的內容"
Stage Quest/3,"達成 '需求文件.txt' 的內容後，確認 '暫存區域' 狀態"
DefaultData/File data/ListContent/0,"我在專案中新建了 Git 管理系統\n為了初始化專案，我需要將以下內容<color=#CF001C>放入</color> '暫存區域'：\n網站首頁.html\n登入系統.js\n<color=#CF001C>不應該放入</color>的檔案：\n會員資料.csv"
DefaultData/File data/ListFileName/0,"需求文件.txt"
DefaultData/File data/ListLocation/0,"需求文件.txt"
DefaultData/File data/ListFileName/1,"購物網站專案"
DefaultData/File data/ListLocation/1,"購物網站專案"
DefaultData/File data/ListContent/2,"首頁標題\n網頁內容\n帳號密碼輸入欄\n會員登入按鈕\n會員註冊按鈕"
DefaultData/File data/ListFileName/2,"網站首頁.html"
DefaultData/File data/ListLocation/2,"購物網站專案\網站首頁.html"
DefaultData/File data/ListContent/3,"驗證會員資料\n註冊會員資料\n失敗訊息\n成功訊息"
DefaultData/File data/ListFileName/3,"登入系統.js"
DefaultData/File data/ListLocation/3,"購物網站專案\登入系統.js"
DefaultData/File data/ListContent/4,"abcde12345,123456789\ngitGame56789,password\nstagingArea999,stagedUnstaged"
DefaultData/File data/ListFileName/4,"會員資料.csv"
DefaultData/File data/ListLocation/4,"購物網站專案\會員資料.csv"
DefaultData/File data/ListLocation/5,"購物網站專案\.git"
Quest Tracker/StagingStatusData/ListLocation/1,"購物網站專案\網站首頁.html"
Quest Tracker/StagingStatusData/ListLocation/2,"購物網站專案\登入系統.js"
Quest Tracker/StagingStatusData/ListLocation/3,"購物網站專案\會員資料.csv"
