StageTitle,"創建與推送遠端分支"
Story Background/Content/Story,"您是一位學生，在 '專案管理' 課程的後半部分。
老師要求學生們分成幾個組別，在 Git 服務平台上開發一款應用程式。

您與組員們決定開發一款 '貪吃蛇' 遊戲，
團隊將運用版本控制的知識和技術來提升開發效率。

您負責的工作是寫好 'README' 檔案，
不久前，您嘗試在創建好的遠端分支上寫了一些測試文字。

現在，請您試著創建一個新的分支來完成貪吃蛇遊戲的介紹，
並且將它上傳到遠端儲存庫吧。
另外，請刪除掉測試用的遠端分支，以保持遠端儲存庫的整潔。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在本地創建並切換到新的分支上"
Stage Quest/3,"在 'update-readme' 分支上增加貪吃蛇遊戲的介紹"
Stage Quest/4,"在 'update-readme' 分支上繼續完成貪吃蛇遊戲的介紹"
Stage Quest/5,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/6,"將 'update-readme' 分支上傳到遠端儲存庫中
並更新 '提交記錄' 視窗"
Stage Quest/7,"刪除本地、遠端儲存庫中的 'test-readme' 分支
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListContent/1,"# snake-game\a這是一款改良版的貪吃蛇遊戲。\a遊戲中會出現多個物件，吃到水果會加分，如果玩家被炸彈炸到遊戲就結束了。"
CommitHistoryData/File data/ListContent/1(test-readme),"# snake-game\n這是測試文字，確認是否可以推到遠端儲存庫"
CommitHistoryData/File data/ListLocation/0,"snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/2,"snake-game\.git"
CommitHistoryData/File data/ListFileName/0,"snake-game"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/(test-readme),"推入測試文字"
DefaultData/Commit data/commitMessageList/0,"增加貪吃蛇遊戲的介紹"
DefaultData/Commit data/commitMessageList/1,"增加提交"
DefaultData/Commit data/commitMessageList/2,"完成貪吃蛇遊戲"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
明確指出提交用於增加遊戲介紹"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
提交訊息沒有明確意義"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
與提交的目的不相關"
DefaultData/BranchName data/branchNameList/0,"update-readme"
DefaultData/BranchName data/branchNameList/1,"gameUpdate"
DefaultData/BranchName data/branchNameList/2,"content-update"
DefaultData/BranchName data/branchNameReasonList/0,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字"
DefaultData/BranchName data/branchNameReasonList/1,"命名分支分析：
合適：部分使用小寫英文字母
不合適：部分使用大寫英文字母"
DefaultData/BranchName data/branchNameReasonList/2,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字
不合適：無法通過分支名稱辨別開發用途"
Quest Filter/Valider/Target File Name/0,"README.md"
