StageTitle,Tạo phiên bản dự án Git đầu tiên của bạn
Story Background/Content/Story,"Bạn là một sinh viên.
Trong khóa học 'Project Management',
giáo viên đã đề cập đến cách tạo 'commits' mới trong bài học hôm nay.

Sau giờ học, bạn quyết định thực hành quy trình tạo commit.
Bạn đã tạo một tệp bản trình bày mới và quản lý nó bằng Git.
Hãy cố gắng hoàn thành bài thuyết trình giữa kỳ của Git."
Stage Quest/1,Mở cửa sổ 'File Manager'.
Stage Quest/2,"Di chuyển 'Midterm_Report.ppt' sang 'Staged'.
Sau đó xác nhận trạng thái của Staging Area."
Stage Quest/3,"Tạo commit cho phiên bản đầu tiên của báo cáo.
Nhập 'git commit -m """"', nhấn biểu tượng kính lúp, rồi chọn thông điệp commit phù hợp."
Stage Quest/4,Kiểm tra trạng thái của Staging Area.
Stage Quest/5,Mở cửa sổ 'Commit History'.
Stage Quest/6,Sửa lỗi trong báo cáo.
Stage Quest/7,Kiểm tra trạng thái của Staging Area.
Stage Quest/8,Xác nhận báo cáo đã sửa đổi nằm trong vùng 'Staged'.
Stage Quest/9,"Tạo commit cho phiên bản thứ hai của báo cáo.
Nhập 'git commit -m """"', nhấn biểu tượng kính lúp, rồi chọn thông điệp commit phù hợp."
Stage Quest/10,Kiểm tra trạng thái của Staging Area.
Stage Quest/11,Kiểm tra nội dung của cửa sổ 'Commit History'.
Stage Quest/12,Thêm nội dung vào báo cáo.
Stage Quest/13,Xác nhận báo cáo đã sửa đổi nằm trong vùng 'Staged'.
Stage Quest/14,"Tạo commit cho phiên bản thứ ba của báo cáo.
Nhập 'git commit -m """"', nhấn biểu tượng kính lúp, rồi chọn thông điệp commit phù hợp."
Stage Quest/15,Kiểm tra trạng thái của Staging Area.
Stage Quest/16,Kiểm tra nội dung của cửa sổ 'Commit History'.
Quest Tracker/StagingStatusData/ListLocation/0,Midterm_Report.ppt
DefaultData/File data/ListContent/0,"Report Title: How to Create a New Git Commit\nStep 1: Modify files in the working directory.\nStep 2: Move the changes to the staging area.\nStep 3: Create a new commit directly without confirmation <color=#CF001C>(to be modified)</color>.\mStep 3: After confirm the staging area, use command to create commit (modified).\aStep 4: Verify that the 'Commit' is added to the commit log."
DefaultData/File data/ListFileName/0,Midterm_Report.ppt
DefaultData/File data/ListLocation/0,Midterm_Report.ppt
Quest Filter/Valider/Target File Name/0,Midterm_Report.ppt
DefaultData/Commit data/commitMessageList/0,Create a new commit.
DefaultData/Commit data/commitMessageList/1,Create the first version of the report.
DefaultData/Commit data/commitMessageList/2,Add a new file.
DefaultData/Commit data/commitMessageList/4,Fix errors in the report.
DefaultData/Commit data/commitMessageList/5,Update the content of the report.
DefaultData/Commit data/commitMessageList/6,Fix errors on the fourth page of the report.
DefaultData/Commit data/commitMessageList/8,Add the third commit.
DefaultData/Commit data/commitMessageList/9,Update the content of the report.
DefaultData/Commit data/commitMessageList/10,Update report: The final step of creating a new commit.
DefaultData/Commit data/commitMessageReasonList/0,"Commit message analysis:
This message is too simple!
There isn't enough information to help understand the content or purpose of this commit."
DefaultData/Commit data/commitMessageReasonList/1,"Commit message analysis:
It provides information about the content and purpose of the commit.
Helps people understand that this commit is for creating a report."
DefaultData/Commit data/commitMessageReasonList/2,"Commit message analysis:
This message is too simple! 
It doesn't provide enough information to help people understand the purpose or content of the commit."
DefaultData/Commit data/commitMessageReasonList/4,"Commit message analysis:
This message is not clear! 
Although it shows that the author fixed errors,
it does not describe what errors were fixed."
DefaultData/Commit data/commitMessageReasonList/5,"Commit message analysis:
Although it showed that the author updated the content of the report,
It does not describe what content is updated."
DefaultData/Commit data/commitMessageReasonList/6,"Commit message analysis:
This message is clear and specific.
People can easily understand the purpose of the commit.
And where the author changes it."
DefaultData/Commit data/commitMessageReasonList/8,"Commit message analysis:
This message does not provide details about the changes and purpose"
DefaultData/Commit data/commitMessageReasonList/9,"Commit message analysis:
Although it showed that the author updated the content of the report,
It does not describe what content is updated."
DefaultData/Commit data/commitMessageReasonList/10,"Commit message analysis:
This message is clear and meaningful. 
It shows the added content in this commit.
Help people understand the purpose of the commit."
