StageTitle,"快進合併分支"
Story Background/Content/Story,"您是一位剛加入的遊戲開發團隊成員，現在負責角色設計。
團隊成員希望您為角色行為增加一個攻擊偵測程式。

為了遵從正確的開發原則，開發者應該在自己的分支上開發功能。
試著建立一個新的分支，然後嘗試在分支上開發內容吧。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在 'master' 分支上創建分支，並更新 '提交記錄' 視窗"
Stage Quest/3,"在開發分支上增加角色攻擊行為偵測"
Stage Quest/4,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/5,"切換到 'master' 分支
並更新 '提交記錄' 視窗"
Stage Quest/6,"合併 'new-character-action' 分支
並更新 '提交記錄' 視窗"
Stage Quest/7,"刪除 'new-character-action' 分支
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListFileName/0,"角色專案"
CommitHistoryData/File data/ListLocation/0,"角色專案"
CommitHistoryData/File data/ListContent/1,"圖片標題\n圖片內容"
CommitHistoryData/File data/ListFileName/1,"角色圖片.png"
CommitHistoryData/File data/ListLocation/1,"角色專案\角色圖片.png"
CommitHistoryData/File data/ListFileName/2,"角色文本.txt"
CommitHistoryData/File data/ListContent/2,"角色名字\n故事背景\n性格"
CommitHistoryData/File data/ListLocation/2,"角色專案\角色文本.txt"
CommitHistoryData/File data/ListFileName/3,"角色行為程式.cs"
CommitHistoryData/File data/ListContent/3,"走路偵測\n對話偵測\a攻擊偵測"
CommitHistoryData/File data/ListLocation/3,"角色專案\角色行為程式.cs"
CommitHistoryData/File data/ListLocation/4,"角色專案\.git"
CommitHistoryData/CommitMessage/1,"初始化角色專案"
CommitHistoryData/CommitMessage/2,"為設計角色形象"
CommitHistoryData/CommitMessage/3,"為角色設計故事背景"
CommitHistoryData/CommitMessage/4,"設計角色基本行為"
Quest Filter/Valider/Target File Name/0,"角色行為程式.cs"
DefaultData/Commit data/commitMessageList/0,"增加角色行為：角色可以進行攻擊偵測"
DefaultData/Commit data/commitMessageList/1,"新增程式碼"
DefaultData/Commit data/commitMessageList/2,"新增提交"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
提交訊息明確，可以幫助開發人員理解此提交的作用"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
提交訊息不夠明確"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
提交訊息不夠明確"
DefaultData/BranchName data/branchNameList/0,"new-character-action"
DefaultData/BranchName data/branchNameList/1,"character"
DefaultData/BranchName data/branchNameList/2,"角色新動作"
DefaultData/BranchName data/branchNameReasonList/0,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字"
DefaultData/BranchName data/branchNameReasonList/1,"命名分支分析：
合適：使用小寫英文字母
不合適：過於單調，可能造成其他開發者的混淆"
DefaultData/BranchName data/branchNameReasonList/2,"命名分支分析：
不合適：使用中文字來命名分支"
NPCCommitData/NPC1,"同事 A"
NPCCommitData/NPC2,"同事 B"
NPCCommitData/NPC3,"同事 C"
