Common/Warning,"警 告"
Common/Yes,"是"
Common/No,"否"
Common/Player,"您"
Common/Loading,"加載中"
Common/FollowQuest,"請先完成當前目標！"
TooltipMessage/MainToolBar/ChatButton,"對話"
TooltipMessage/MainToolBar/GameMenuButton,"遊戲選單"
TooltipMessage/WindowButtons/FileManager/Unlock,"檔案管理"
TooltipMessage/WindowButtons/FileManager/Lock,"尚未解鎖視窗：檔案管理"
TooltipMessage/WindowButtons/CommandLine/Unlock,"命令行"
TooltipMessage/WindowButtons/CommandLine/Lock,"尚未解鎖視窗：命令行"
TooltipMessage/WindowButtons/Browser/Unlock,"網頁瀏覽器"
TooltipMessage/WindowButtons/Browser/Lock,"尚未解鎖視窗：網頁瀏覽器"
TooltipMessage/FileContentWindow/RenameButton,"重新命名"
TooltipMessage/StageSummaryWindow/Detailed/Perfect,"完美達成目標！"
TooltipMessage/StageSummaryWindow/Detailed/Good,"完成目標，但過程中執行過錯誤操作"
TooltipMessage/StageSummaryWindow/Detailed/Hint,"使用提示功能完成目標"
TooltipMessage/StageSummaryWindow/Detailed/Answer,"使用解答功能完成此目標"
ChatButton/Title/Git Assistant,"Git 教學協助人員"
GameMenuButton/Menu/TitleText,"選 單"
GameMenuButton/Menu/BackToGame,"回到遊戲畫面"
GameMenuButton/Menu/RestartStage/Button,"重新開始本關"
GameMenuButton/Menu/RestartStage/Warning,"您確定重新開始本關卡嗎？
當前的遊戲進度不會保存"
GameMenuButton/Menu/BackToStageSelectScreen/Button,"回到選關畫面"
GameMenuButton/Menu/BackToStageSelectScreen/Warning,"您確定要回到選關畫面嗎？
當前的遊戲進度不會保存"
Story Background/Title/Default,"故 事 背 景"
Story Background/Title/Loading,"加 載 故 事 背 景 中"
Story Background/Content/None,"（無）"
FileManagerWindow/Title,"檔 案 管 理"
FileManagerWindow/LoadingText,"加載中"
FileContentWindow/ModifyContentMsg,"修改文件內容 ？"
FileContentWindow/DeleteContentMsg,"刪除文件內容 ？ "
FileContentWindow/AddContnetTitle,"選擇動作"
FileContentWindow/AddContnetButton,"新增檔案內容"
FileContentWindow/RenameFileTitle,"重新命名檔案"
FileContentWindow/CopyFileTitle,"選擇動作"
FileContentWindow/CopyFileButton,"備份此檔案"
FileContentWindow/WarningMsgTitle,"操作無效！"
FileContentWindow/CopyText,"(複製)"
CommandLineWindow/Title,"命 令 行"
CommandLineWindow/TooltipMessage/ClearCommandsButton,"清除已執行過的指令"
CommandLineWindow/TooltipMessage/UnselectCommandButton,"取消選取指令"
CommandLineWindow/TooltipMessage/CurrentLocation,"當前目錄：{CommandLineWindow/CurrentCommandLineLocation}"
CommandLineWindow/TooltipMessage/CurrentBranch,"當前 Git 分支：{CommandLineWindow/CurrentBranch}"
