StageTitle,"解決合併衝突"
Story Background/Content/Story,"您是一位學生。
最近在 '手機程式應用開發' 課程中，
老師要求兩個學生組成一組，共同製作一款簡單的手機應用。

您和您的組員決定開發一款名為「猜數字」的遊戲。
一段時間後，遊戲的基本功能已經開發完成。

但是您發現遊戲的畫面設計不夠吸引人。
為了改善遊戲畫面，您和您的組員決定各自設計自己的遊戲畫面，
然後討論哪些設計元素最終將被採用。

您的團隊成員在 'member-style-design' 分支上設計遊戲畫面，
而您正準備新建一個分支來設計您自己的遊戲畫面。

現在，請您在自己的分支修改手機元件。
最後將完成的內容合併到主分支上。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在 'master' 分支上創建新的分支，並更新 '提交記錄' 視窗"
Stage Quest/3,"在 'your-style-design' 分支上修改手機樣式"
Stage Quest/4,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/5,"將 'member-style-design' 分支合併回主分支上
並更新 '提交記錄' 視窗"
Stage Quest/6,"將 'your-style-design' 分支合併回主分支上"
Stage Quest/7,"解決 '手機主界面.xml' 文件衝突"
Stage Quest/8,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/9,"刪除完成合併的所有分支
並更新 '提交記錄' 視窗"
AutoMergeData/Quest 8/ListContent/0,"請輸入 4 個數字：\n<<<<<<< HEAD\n數字輸入欄 (同學 A 設計)<color=#FFE6C6>=</color>\n猜數字按鈕 (同學 A 設計)\n=======\n數字輸入欄 (您的設計)\n猜數字按鈕 (您的設計)<color=#FFE6C6>=</color>\n>>>>>>> your-style-design\n執行結果：0A，0B"
CommitHistoryData/File data/ListFileName/0,"猜數字專案"
CommitHistoryData/File data/ListLocation/0,"猜數字專案"
CommitHistoryData/File data/ListContent/1,"請輸入 4 個數字：\n數字輸入欄\n猜數字按鈕\n執行結果：0A，0B"
CommitHistoryData/File data/ListContent/NPC,"請輸入 4 個數字：\n數字輸入欄 (同學 A 設計)\n猜數字按鈕 (同學 A 設計)\n執行結果：0A，0B"
CommitHistoryData/File data/ListContent/2,"按鈕點擊事件\n隨機數生成功能\n獲取玩家輸入數字\n比較答案功能"
CommitHistoryData/File data/ListContent/1(fix),"請輸入 4 個數字：\n數字輸入欄 <color=#CF001C>(需要修改)</color><color=#FFE6C6>Flag1</color>\m數字輸入欄 (您的設計)\n猜數字按鈕 <color=#CF001C>(需要修改)</color><color=#FFE6C6>Flag2</color>\m猜數字按鈕 (您的設計)\n執行結果：0A，0B"
CommitHistoryData/File data/ListFileName/1,"手機主界面.xml"
CommitHistoryData/File data/ListFileName/2,"主程式.java"
CommitHistoryData/File data/ListLocation/1,"猜數字專案\手機主界面.xml"
CommitHistoryData/File data/ListLocation/2,"猜數字專案\主程式.java"
CommitHistoryData/File data/ListLocation/3,"猜數字專案\.git"
CommitHistoryData/CommitMessage/1,"初始化手機應用專案"
CommitHistoryData/CommitMessage/2,"基本遊戲邏輯設計完成"
CommitHistoryData/CommitMessage/3,"基本手機界面設計完成"
CommitHistoryData/CommitMessage/4,"分支 "ui-design" 已合併至分支 "master" 中"
CommitHistoryData/CommitMessage/5,"學生 A 手機界面樣式設計完成"
Quest Filter/Valider/Target File Name/0,"手機主界面.xml"
Quest Filter/Valider/Target File Name/1,"猜數字專案\手機主界面.xml"
Quest Valider/Valider/0,"手機主界面.xml"
DefaultData/BranchName data/branchNameList/0,"your-style-design"
DefaultData/BranchName data/branchNameList/1,"style-design"
DefaultData/BranchName data/branchNameList/2,"new-branch"
DefaultData/BranchName data/branchNameReasonList/0,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字"
DefaultData/BranchName data/branchNameReasonList/1,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字
不合適：由於與團隊共同開發，應該加上名字等關鍵字來加強辨認"
DefaultData/BranchName data/branchNameReasonList/2,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字
不合適：沒有指出創建分支的目的"
DefaultData/Commit data/commitMessageList/0,"修改手機主界面檔案"
DefaultData/Commit data/commitMessageList/1,"主界面設計改良：按鈕與輸入欄"
DefaultData/Commit data/commitMessageList/2,"改變遊戲界面"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
雖然提到修改的目標檔案，但沒有指出修改的內容"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
明確提到修改的目標與細節"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
提到遊戲界面被改變，但是缺少詳細的訊息"
DefaultData/Commit data/commitMessageList/4,"解決 'master' 和 'your-style-design' 分支的合併衝突"
DefaultData/Commit data/commitMessageList/5,"解決衝突"
DefaultData/Commit data/commitMessageList/6,"合併兩個分支"
DefaultData/Commit data/commitMessageReasonList/4,"提交訊息分析：
明確指出解決衝突的兩個分支"
DefaultData/Commit data/commitMessageReasonList/5,"提交訊息分析：
雖然指出解決衝突，但應該加上更多的細節"
DefaultData/Commit data/commitMessageReasonList/6,"提交訊息分析：
提交訊息不夠明確，可以加上合併的兩個目標分支名稱"
NPCCommitData/NPC1,"同學 A"
