StageTitle,"Git 暫存區域的基礎操作"
Story Background/Content/Story,"您是一位學生。
在課程 '專案管理' 中，老師提到了 '暫存區域' 的概念。
由於 '暫存區域' 並不會直接出現在電腦中，您對於這個概念還不夠熟悉。

下課後，您決定在自己的電腦裡執行與 '暫存區域' 相關的指令。
請試著將基本的指令都執行一次，來熟悉 '暫存區域' 吧。"
Stage Quest/1,"開啟 '命令行' 視窗"
Stage Quest/2,"確認 '暫存區域' 的內容"
Stage Quest/3,"將 '課堂筆記.txt' 移入暫存區域中"
Stage Quest/4,"確認檔案已成功加入到 '已追蹤'"
Stage Quest/5,"將檔案移出 '已追蹤'，並確認暫存區域"
DefaultData/File data/ListContent/0,"暫存區域是 Git 的三個主要區域之一\n無法直接在檔案管理中查看內容\n我們需要使用 Git 指令來檢視它"
DefaultData/File data/ListFileName/0,"課堂筆記.txt"
DefaultData/File data/ListLocation/0,"課堂筆記.txt"
Quest Tracker/StagingStatusData/ListLocation/1,"課堂筆記.txt"
