StageTitle,"創建您的第一個本地儲存庫"
Story Background/Content/Story,"您是一位學生。
在本學期的課程 '專案管理' 中，
老師要求學生們要製作一個專題，並使用 '版本控制' 來管理專案。

在不久前您已經完成了基本的網頁雛形，不過並沒有使用 Git 來管理。
您之前使用 '備份檔案' 來管理專案，但是造成了一些問題。
這次請嘗試在專案上建立第一個 Git 本地儲存庫吧。"
Stage Quest/1,"開啟 '命令行' 視窗"
Stage Quest/2,"確認電腦中是否有 Git 系統"
Stage Quest/3,"移動到需要管理專案的路徑"
Stage Quest/4,"新建一個 Git 本地儲存庫"
DefaultData/File data/ListFileName/1,"開發中的專案"
DefaultData/File data/ListLocation/1,"開發中的專案"
DefaultData/File data/ListContent/2,"網頁標題\n網頁內容\n網頁頁尾"
DefaultData/File data/ListFileName/2,"我的主頁.html"
DefaultData/File data/ListLocation/2,"開發中的專案\我的主頁.html"
DefaultData/File data/ListContent/3,"網頁背景樣式\n文字樣式"
DefaultData/File data/ListFileName/3,"我的樣式.css"
DefaultData/File data/ListLocation/3,"開發中的專案\我的樣式.css"
DefaultData/File data/ListContent/4,"更新網頁 UI 功能\n上傳檔案功能\n讀取檔案功能"
DefaultData/File data/ListFileName/4,"主程式.js"
DefaultData/File data/ListLocation/4,"開發中的專案\主程式.js"
DefaultData/File data/ListFileName/5,"課程資料夾"
DefaultData/File data/ListLocation/5,"課程資料夾"
DefaultData/File data/ListContent/6,"備份檔案會造成的問題很多\n而版本控制可以提升專案管理的效率"
DefaultData/File data/ListFileName/6,"筆記.txt"
DefaultData/File data/ListLocation/6,"課程資料夾\筆記.txt"
Quest Filter/Valider/Git Create Location,"開發中的專案"
