StageTitle,"創建您的第一個遠端儲存庫"
Story Background/Content/Story,"您是一位學生，
在課程 '專案管理' 中，
老師要求學生們幾個人組成一隊，共同開發一個網站。

您想起在課程中提到的知識：
「建立遠端儲存庫來管理專案，以提高開發效率」

為了讓團隊成員能夠共同參與網頁設計，團隊決定使用 Git 來管理專案。

現在，您需要先在 Git 服務平台上創建一個遠端儲存庫。
並將其複製到您的電腦裡，才能開始製作網站。"
Stage Quest/1,"開啟 '檔案管理' 視窗"
Stage Quest/2,"開啟 '網頁瀏覽器' 視窗"
Stage Quest/3,"進入 '創建儲存庫' 頁面"
Stage Quest/4,"創建一個遠端儲存庫"
Stage Quest/5,"複製遠端儲存庫到本地設備中"
Stage Quest/6,"確認複製後的專案是否連接到對應的遠端儲存庫中"
CommitHistoryData/File data/ListFileName/0,"筆記.txt"
CommitHistoryData/File data/ListLocation/0,"筆記.txt"
CommitHistoryData/File data/ListContent/0,"題目：如何使用遠端儲存庫\n進入 Git 服務平台\n創建遠端儲存庫\n通過指令複製到本地電腦中"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/File data/ListContent/2,"# test-remote-repo"
CommitHistoryData/File data/ListLocation/1,"test-remote-repo"
CommitHistoryData/File data/ListLocation/2,"test-remote-repo\README.md"
CommitHistoryData/File data/ListLocation/3,"test-remote-repo\.git"
CommitHistoryData/File data/ListFileName/1,"test-remote-repo"
CommitHistoryData/File data/ListFileName/2,"README.md"
