StageTitle,"解決合併衝突"
Story Background/Content/Story,"您是一位學生，目前正在修習 '網路程式設計' 課程。
最近，您學習到如何通過寫程式來增加網頁的互動性。

課程結束後，您決定製作一個簡單的網頁遊戲，來複習課程中學到的內容。
在這個遊戲中，玩家可以點擊 '增加分數' 按鈕來獲得分數，
點擊 '重置分數' 按鈕來將得分歸零。

為了保持專案開發的良好環境，您決定使用 Git 來管理網頁專案。
您根據功能創建了兩個分支，並完成這些功能的開發。
接下來，試著將兩個開發完成的分支合併到主分支吧。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"合併 'add-score-feature' 分支
並更新 '提交記錄' 視窗"
Stage Quest/3,"合併 'reset-score-feature' 分支
並更新 '提交記錄' 視窗"
Stage Quest/4,"開啟 '遊戲程式.js' 檔案內容"
Stage Quest/5,"解決 '遊戲程式.js' 文件衝突"
Stage Quest/6,"解決 '遊戲網頁.html' 文件衝突"
Stage Quest/7,"創建新的提交，並更新 '提交記錄' 視窗"
DefaultData/Commit data/commitMessageList/0,"解決 'master' 和 'reset-score-feature' 分支的合併衝突"
DefaultData/Commit data/commitMessageList/1,"解決衝突"
DefaultData/Commit data/commitMessageList/2,"合併兩個分支"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
這個提交消息清晰且有意義
它明確指出開發者解決了哪兩個分支的合併衝突"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
這個提交消息雖然提到了解決衝突
但沒有提供與解決衝突有關的細節"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
這個提交消息雖然提到了合併分支
但沒有提到與文件衝突有關的訊息
其他人可能會認為本次合併沒有發生文件衝突"
AutoMergeData/Quest 3/ListContent/0,"網頁基礎框架\n<<<<<<< HEAD\n增加分數按鈕\n=======\n重置分數按鈕\n>>>>>>> reset-score-feature"
AutoMergeData/Quest 3/ListContent/1,"將初始分數設為 0\n<<<<<<< HEAD\n增加分數功能\n=======\n重置分數功能\n>>>>>>> reset-score-feature"
CommitHistoryData/File data/ListFileName/0,"我的網頁.html"
CommitHistoryData/File data/ListFileName/1,"遊戲程式.js"
CommitHistoryData/File data/ListLocation/0,"我的網頁.html"
CommitHistoryData/File data/ListLocation/1,"遊戲程式.js"
CommitHistoryData/File data/ListContent/0,"網頁基礎框架"
CommitHistoryData/File data/ListContent/0/add,"網頁基礎框架\n增加分數按鈕"
CommitHistoryData/File data/ListContent/0/reset,"網頁基礎框架\n重置分數按鈕"
CommitHistoryData/File data/ListContent/1,"將初始分數設為 0"
CommitHistoryData/File data/ListContent/1/add,"將初始分數設為 0\n增加分數功能"
CommitHistoryData/File data/ListContent/1/reset,"將初始分數設為 0\n重置分數功能"
CommitHistoryData/CommitMessage/1,"初始化專案 - 點擊按鈕遊戲"
CommitHistoryData/CommitMessage/2,"新增 '增加分數' 按鈕及功能"
CommitHistoryData/CommitMessage/3,"新增 '重置分數' 按鈕及功能"
Quest Filter/Valider/Target File Name/0,"遊戲程式.js"
Quest Filter/Valider/Target File Name/1,"我的網頁.html"
Quest Valider/Valider/0,"遊戲程式.js"
Quest Valider/Valider/1,"我的網頁.html"
