StageTitle,"創建您的第一個 Git 專案版本"
Story Background/Content/Story,"您是一位學生。
在課程 '專案管理' 中，
老師在今天的課程裡提到了如何新建 '提交'。

課後，您決定練習創建提交的流程。
您新建了一個簡報，並使用 Git 來管理報告內容。
請試著通過 Git 來完成期中簡報的製作吧。"
Stage Quest/1,"開啟 '檔案管理' 視窗"
Stage Quest/2,"將 '期中報告.ppt' 加入 '已追蹤'
並確認暫存區域"
Stage Quest/3,"提交簡報的第一個版本"
Stage Quest/4,"確認暫存區域的狀態"
Stage Quest/5,"開啟 '提交記錄' 視窗"
Stage Quest/6,"修正簡報中的錯誤"
Stage Quest/7,"確認暫存區域的狀態"
Stage Quest/8,"確認修改後的簡報移入 '已追蹤'"
Stage Quest/9,"提交簡報的第二個版本"
Stage Quest/10,"確認暫存區域的狀態"
Stage Quest/11,"確認 '提交記錄' 視窗內容"
Stage Quest/12,"新增簡報內容"
Stage Quest/13,"確認修改後的簡報移入 '已追蹤'"
Stage Quest/14,"提交簡報的第三個版本"
Stage Quest/15,"確認暫存區域的狀態"
Stage Quest/16,"確認 '提交記錄' 視窗內容"
Quest Tracker/StagingStatusData/ListLocation/0,"期中報告.ppt"
DefaultData/File data/ListContent/0,"報告題目：新增 Git 提交的步驟\n在工作目錄上修改檔案\n將變更內容移至暫存區域\n不經確認直接創建新提交 <color=#CF001C>(需要修改)</color>\m確認暫存區域後通過指令創建提交（已修改）\a確認提交記錄新增了 '提交'"
DefaultData/File data/ListFileName/0,"期中報告.ppt"
DefaultData/File data/ListLocation/0,"期中報告.ppt"
Quest Filter/Valider/Target File Name/0,"期中報告.ppt"
DefaultData/Commit data/commitMessageList/0,"新建提交"
DefaultData/Commit data/commitMessageList/1,"建立簡報的第一個版本"
DefaultData/Commit data/commitMessageList/2,"新增檔案"
DefaultData/Commit data/commitMessageList/4,"修正簡報錯誤"
DefaultData/Commit data/commitMessageList/5,"更新簡報內容"
DefaultData/Commit data/commitMessageList/6,"修正簡報中的第四頁錯誤"
DefaultData/Commit data/commitMessageList/8,"新增第三次提交"
DefaultData/Commit data/commitMessageList/9,"更新簡報內容"
DefaultData/Commit data/commitMessageList/10,"更新簡報：新增提交的最後一步"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
訊息過於簡單！
沒有足夠的信息去讓人了解本次提交的內容或目的"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
它提供了提交的內容和目的
讓人理解這次提交是為了建立簡報"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
訊息過於簡單！
沒有提供足夠信息來讓人理解本次提交的目的或內容"
DefaultData/Commit data/commitMessageReasonList/4,"提交訊息分析：
訊息過於模糊！
此訊息雖然讓人知道修正錯誤
卻沒有詳細描述錯誤的內容"
DefaultData/Commit data/commitMessageReasonList/5,"提交訊息分析：
雖然提到了更新簡報內容
但是無法讓人得知做了什麼更動"
DefaultData/Commit data/commitMessageReasonList/6,"提交訊息分析：
這個訊息非常清晰和具體
讓人很容易地理解
本次提交的目的和更改位置"
DefaultData/Commit data/commitMessageReasonList/8,"提交訊息分析：
這個訊息並沒有提供更改的細節和目的"
DefaultData/Commit data/commitMessageReasonList/9,"提交訊息分析：
雖然提到了更新簡報內容
但是無法讓人得知做了什麼更動"
DefaultData/Commit data/commitMessageReasonList/10,"提交訊息分析：
這個訊息相對清晰且有意義
它表明了本次提交新增的內容，讓人了解提交的目的"
