StageTitle,"快進合併分支"
Story Background/Content/Story,"您是一位學生。
最近需要在課程中製作 '俄羅斯方塊' 遊戲，
而您已順利地完成基本遊戲的製作。

還有額外時間的您，決定為遊戲增加新的玩法。
您通過分支管理的技術來協助開發，並順利地做出有趣的遊戲功能。

不過您需要將開發分支的內容合併到主分支才行。
試著通過 Git 指令來合併開發分支的內容吧。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在 'new-feature' 分支上開發新功能"
Stage Quest/3,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/4,"切換到 'master' 分支
並更新 '提交記錄' 視窗"
Stage Quest/5,"合併 'new-feature' 分支
並更新 '提交記錄' 視窗"
Stage Quest/6,"刪除 'new-feature' 分支
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListContent/0,"遊戲開始畫面"
CommitHistoryData/File data/ListContent/1/v1,"遊戲開始畫面\n分數機制（有問題）\n連成一條線判斷\n遊戲結束"
CommitHistoryData/File data/ListContent/1/v2,"遊戲開始畫面\n分數機制（已修復）\n連成一條線判斷\n遊戲結束"
CommitHistoryData/File data/ListContent/1/v3,"遊戲開始畫面\n分數機制（已修復）\n連成一條線判斷\n遊戲結束\n敵人攻擊方式\a玩家能使用的技能"
CommitHistoryData/File data/ListFileName/0,"主程式.c"
CommitHistoryData/File data/ListLocation/0,"主程式.c"
CommitHistoryData/CommitMessage/1,"初始化俄羅斯方塊遊戲"
CommitHistoryData/CommitMessage/2,"遊戲基本機制完成"
CommitHistoryData/CommitMessage/3,"修復分數機制計算錯誤"
CommitHistoryData/CommitMessage/4,"增加遊戲機制：玩家與敵人戰鬥"
Quest Filter/Valider/Target File Name/0,"主程式.c"
DefaultData/Commit data/commitMessageList/0,"新增玩法：玩家可以在戰鬥中使用技能"
DefaultData/Commit data/commitMessageList/1,"更新遊戲玩法"
DefaultData/Commit data/commitMessageList/2,"在主程式中新增功能"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
這個消息提到為遊戲新增技能
讓人能夠快速了解此提交成功開發出了技能系統"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
這個消息雖然提到更新遊戲玩法
但是沒有提到任何有關玩法的內容"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
這個消息雖然提到了更新主程式
但無法讓人知道更新程式的細節"
