StageTitle,Tạo Pull Request
Story Background/Content/Story,"Bạn là sinh viên đang học nửa sau của khóa học 'Project Management'. 
Giáo viên đã yêu cầu học sinh thành lập nhóm và phát triển ứng dụng trên nền tảng dịch vụ Git.

Bạn và các thành viên trong nhóm của bạn đã quyết định phát triển dự án 'Snake Game'.
Nhóm sẽ áp dụng các phương pháp kiểm soát phiên bản để nâng cao hiệu quả phát triển.

Nhiệm vụ chịu trách nhiệm của bạn là ghi tệp 'README'.
Bạn đã hoàn thành việc ghi tệp 'README' trên nhánh 'update-readme'.

Để đảm bảo rằng không có xung đột hợp nhất nào xảy ra trong quá trình Pull Request sau này,
bạn đã hoàn thành quy trình làm việc 'Preparation for Merging' trên máy tính cục bộ của mình.

Bây giờ, nhiệm vụ của bạn là tạo Pull Request cho nhánh phát triển của mình.
Vui lòng thử hợp nhất nhánh 'update-readme' vào nhánh chính từ xa,
và thảo luận với các thành viên trong nhóm của bạn để đảm bảo những thay đổi là phù hợp."
Stage Quest/1,Mở cửa sổ 'Commit History'
Stage Quest/2,Mở cửa sổ 'Web Browser'
Stage Quest/3,Tạo một Pull Request mới
Stage Quest/4,Thêm người đánh giá
Stage Quest/5,Trả lời tin nhắn của người đánh giá
Stage Quest/6,Sửa đổi nội dung file dựa trên gợi ý
Stage Quest/7,"Tạo một commit mới 
và cập nhật cửa sổ 'Commit History'"
Stage Quest/8,"Đẩy nhánh 'update-readme' vào kho lưu trữ từ xa
và cập nhật cửa sổ 'Commit History'"
Stage Quest/9,Đánh dấu cuộc trò chuyện Pull Request là đã giải quyết
Stage Quest/10,"Đồng bộ hóa nội dung của nhánh 'master' từ xa
và cập nhật cửa sổ 'Commit History'"
Stage Quest/11,"Xóa nhánh 'update-readme' khỏi cả kho lưu trữ cục bộ và từ xa
và cập nhật cửa sổ 'Commit History'"
DefaultData/Commit data/commitMessageList/0,Add more detailed descriptions for the 'Multiple object spawning' section
DefaultData/Commit data/commitMessageList/1,Modify README content
DefaultData/Commit data/commitMessageList/2,Fix issues occurring in the merge request
DefaultData/Commit data/commitMessageReasonList/0,"Commit Message Analysis:
Clearly indicates the specific details of the modified commit."
DefaultData/Commit data/commitMessageReasonList/1,"Commit Message Analysis:
Although the README content was indeed modified, it is not specific enough."
