StageTitle,"創建 Pull Request"
Story Background/Content/Story,"您是一位學生，在 '專案管理' 課程的後半部分。
老師要求學生們分成幾個組別，在 Git 服務平台上開發一款應用程式。

您與組員們決定開發一款 '貪吃蛇' 遊戲，
團隊將運用版本控制的知識和技術來提升開發效率。

您負責的工作是寫好 'README' 檔案，
您已經在 'update-readme' 分支上完成了 'README' 檔案的撰寫。

為了確保創建 Pull Request 的過程不會發生合併衝突，
您在本地電腦上完成了 '合併前的確認' 流程。

現在，您的任務是為您的開發分支創建一個 Pull Request。
請嘗試將 'update-readme' 分支合併至遠端主分支，
並與您的團隊成員共同討論以確保更改是合適的。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"開啟 '瀏覽器' 視窗"
Stage Quest/3,"新建 Pull Request 請求"
Stage Quest/4,"新增審核人員"
Stage Quest/5,"回覆審核人員的訊息"
Stage Quest/6,"根據建議修改檔案內容"
Stage Quest/7,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/8,"將 'update-readme' 分支上傳到遠端儲存庫中
並更新 '提交記錄' 視窗"
Stage Quest/9,"將 Pull Request 對話標記為完成"
Stage Quest/10,"同步遠端 'master' 分支的內容
並更新 '提交記錄' 視窗"
Stage Quest/11,"刪除本地、遠端的 'update-readme' 分支
並更新 '提交記錄' 視窗"
DefaultData/Commit data/commitMessageList/0,"為 '生成多個物件' 部分增加更多細節描述"
DefaultData/Commit data/commitMessageList/1,"修改 README 內容"
DefaultData/Commit data/commitMessageList/2,"修正合併請求發生的問題"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
明確指出提交修改的細節"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
雖然確實修改了 README 的內容，但是不夠明確"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
無法從中得知，該提交對哪個修改建議做修復。
並且無法得知提交修改的檔案細節"
CommitHistoryData/File data/ListContent/1,"# snake-game"
CommitHistoryData/File data/ListContent/2v1,"遊戲運行邏輯\n分數系統\n水果物件管理"
CommitHistoryData/File data/ListContent/2v2,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理"
CommitHistoryData/File data/ListContent/2v3,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理\n玩家衝刺系統\n精力條系統"
CommitHistoryData/File data/ListContent/1v2,"# snake-game\n這是一款改良版的貪吃蛇遊戲。\n遊戲中會出現多個物件，吃到水果會加分，如果玩家被炸彈炸到遊戲就結束了。"
CommitHistoryData/File data/ListContent/1v3,"# snake-game\n這是一款改良版的貪吃蛇遊戲。\n遊戲中會出現多個物件，吃到水果會加分，如果玩家被炸彈炸到遊戲就結束了。\n遊戲特色：\n<b>· </b>一段時間內出現多個物件\n<b>· </b>出現炸彈的一段時間後會爆炸，如果玩家在爆炸範圍內就算遊戲結束\n<b>· </b>遊戲設有精力條，玩家可以衝刺"
CommitHistoryData/File data/ListContent/1v4,"# snake-game\n這是一款改良版的貪吃蛇遊戲。\n遊戲中會出現多個物件，吃到水果會加分，如果玩家被炸彈炸到遊戲就結束了。\n遊戲特色：\n<b>· </b>一段時間內出現多個物件<color=#FFE6C6>(需要修改)</color>\m<b>· </b>每 5 秒會生成隨機數量的水果和炸彈，並且生成位置也是隨機的。(已修改)\n<b>· </b>出現炸彈的一段時間後會爆炸，如果玩家在爆炸範圍內就算遊戲結束\n<b>· </b>遊戲設有精力條，玩家可以衝刺"
CommitHistoryData/File data/ListLocation/0,"snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/2,"snake-game\主程式.cpp"
CommitHistoryData/File data/ListLocation/3,"snake-game\.git"
CommitHistoryData/File data/ListFileName/0,"snake-game"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/File data/ListFileName/2,"主程式.cpp"
NPCCommitData/NPC1,"同學 A"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"基本貪吃蛇遊戲完成"
CommitHistoryData/CommitMessage/5,"貪吃蛇遊戲介紹"
CommitHistoryData/CommitMessage/6,"貪吃蛇遊戲特色介紹"
CommitHistoryData/CommitMessage/3,"炸彈功能設計完成"
CommitHistoryData/CommitMessage/4,"玩家允許衝刺，並追加精力條系統"
CommitHistoryData/CommitMessage/7,"分支 'master' 已合併至分支 'update-readme' 中"
RepoQuestData/Repo Quest/PRTitle,"新增 README 內容: 貪吃蛇遊戲介紹和特色"
RepoQuestData/Repo Quest/PRDes,"這個 Pull Request 包含了我在 'update-readme' 分支上所做的變更，
它主要用於更新 README 檔案，我新增了貪吃蛇遊戲的基本介紹和遊戲特色。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/MainContent,"您好，我注意到 'README.md' 檔案中對於遊戲特色 '生成多個物件' 的地方可以做些改進。
為了讓讀者更好地理解遊戲的玩法和挑戰，
建議您增加生成物件相關的細節，例如生成時間、隨機功能等內容。
謝謝。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/FileName,"README.md"
BrowserWindow/PRDetailed/FileContent1,"# snake-game"
BrowserWindow/PRDetailed/FileContent2,"這是一款改良版的貪吃蛇遊戲。"
BrowserWindow/PRDetailed/FileContent3,"遊戲中會出現多個物件，吃到水果會加分，如果玩家被炸彈炸到遊戲就結束了。"
BrowserWindow/PRDetailed/FileContent4,"遊戲特色："
BrowserWindow/PRDetailed/FileContent5,"<b>· </b>一段時間內出現多個物件"
BrowserWindow/PRDetailed/FileContent5(fixed),"<b>· </b>每 5 秒會生成隨機數量的水果和炸彈，並且生成位置也是隨機的。"
BrowserWindow/PRDetailed/FileContent6,"<b>· </b>出現炸彈的一段時間後會爆炸，如果玩家在爆炸範圍內就算遊戲結束"
BrowserWindow/PRDetailed/FileContent7,"<b>· </b>遊戲設有精力條，玩家可以衝刺"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage1,"請您為 '生成多個物件' 行數增加生成細節。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage2,"謝謝您的建議，我會檢查並進行對應的修改。"
BrowserWindow/PRDetailed/Msg_5_Refresh_FileChanged/ReplyMessage3,"我已經為 '生成多個物件' 部分做出更詳細的描述。
如果還有其他需要改進的地方。
請隨時提出，謝謝。"
BrowserWindow/PRDetailed/Msg_10_Refresh_Approve,"已審核並確認 'README.md' 內容沒有問題。
批准本次合併請求。"
