StageTitle,"創建您的第一個本地儲存庫"
Story Background/Content/Story,"您是一位作家。
您最近想要自己架構一個網站，並把寫好的文章放到網頁上。

在開發網站的過程中，身邊的朋友提醒您。
使用 Git 來管理網站，可以減少開發專案的問題。
為了開始管理專案，您需要先從目標的專案位置上建立 Git 管理系統。"
Stage Quest/1,"開啟 '命令行' 視窗"
Stage Quest/2,"確認電腦中是否有 Git 系統"
Stage Quest/3,"根據背景故事，在正確的位置新建 Git 管理系統"
DefaultData/File data/ListFileName/1,"我的網頁專案"
DefaultData/File data/ListLocation/1,"我的網頁專案"
DefaultData/File data/ListContent/2,"網頁標題\n網頁內容\n網頁頁尾"
DefaultData/File data/ListFileName/2,"我的主頁.html"
DefaultData/File data/ListLocation/2,"我的網頁專案\我的主頁.html"
DefaultData/File data/ListContent/3,"網頁背景樣式\n文字樣式"
DefaultData/File data/ListFileName/3,"我的樣式.css"
DefaultData/File data/ListLocation/3,"我的網頁專案\我的樣式.css"
DefaultData/File data/ListFileName/4,"其他"
DefaultData/File data/ListLocation/4,"其他"
DefaultData/File data/ListContent/5,"代辦事物 A\n代辦事物 B\n代辦事物 C"
DefaultData/File data/ListFileName/5,"備忘錄.txt"
DefaultData/File data/ListLocation/5,"其他\備忘錄.txt"
Quest Filter/Valider/Git Create Location,"我的網頁專案"
