StageTitle,"版本控制與 Git 的介紹"
Story Background/Content/Story,"您是一位學生。
在課程 '專案管理' 中，
老師在課堂中介紹了什麼是版本控制和 Git。
您將課程中提到的知識都記錄到了筆記中。

幾天後，為了檢驗學生們是否真正掌握了這些知識，老師設計了一個測驗。

測驗之前，您有機會回顧先前的學習內容。
現在，請您先回顧筆記中的知識，
然後啟動測驗程式開始作答吧。"
Stage Quest/1,"將這題問題回答正確"
Stage Quest/2,"將這題問題回答正確"
Stage Quest/3,"將這題問題回答正確"
Stage Quest/4,"將這題問題回答正確"
Stage Quest/5,"將這題問題回答正確"
Stage Quest/6,"將這題問題回答正確"
Stage Quest/7,"將這題問題回答正確"
DefaultData/File data/ListFileName/1,"問答系統.exe"
DefaultData/File data/ListLocation/1,"問答系統.exe"
