StageTitle,"創建與推送遠端分支"
Story Background/Content/Story,"您是一位學生，
在課程 '專案管理' 中，
老師要求學生們幾個人組成一隊，共同開發一個網站。

為了讓團隊成員能夠共同參與網頁設計，團隊決定使用 Git 來管理專案。
您已經建立了遠端儲存庫，並將其複製到了電腦中。

為了遵守正確的開發原則，
團員應該在自己創建的分支上開發功能。
主分支則保持穩定，等待其他分支開發完成後合併。

您決定在這個專案上新建一個分支，
並將修改的內容上傳到遠端儲存庫中。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在本地創建並切換到新的分支上"
Stage Quest/3,"在 'README.md' 新增內容"
Stage Quest/4,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/5,"將 'update-readme' 分支上傳到遠端儲存庫中
並更新 '提交記錄' 視窗"
Stage Quest/6,"刪除遠端儲存庫中的 'update-readme' 分支
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListContent/1,"# 購物網站專案\a建立網站原因"
CommitHistoryData/File data/ListLocation/0,"shopping-website"
CommitHistoryData/File data/ListLocation/1,"shopping-website\README.md"
CommitHistoryData/File data/ListLocation/2,"shopping-website\.git"
CommitHistoryData/File data/ListFileName/0,"shopping-website"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
DefaultData/Commit data/commitMessageList/0,"在 'README.md' 檔案上新增建立網站原因"
DefaultData/Commit data/commitMessageList/1,"將開發內容保存至提交"
DefaultData/Commit data/commitMessageList/2,"更新網頁內容"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
這個提交消息清晰且有意義
它明確地告訴開發者添加的內容"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
這個提交消息非常模糊
但沒有提供足夠的開發信息"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
這個提交消息雖然提到了更新網站，但相對來說比較模糊
並且 README 檔案是用於說明專案細節的，與網頁沒有太大關聯"
DefaultData/BranchName data/branchNameList/0,"update-readme"
DefaultData/BranchName data/branchNameList/1,"updateWebsiteReadme"
DefaultData/BranchName data/branchNameList/2,"update readme content"
DefaultData/BranchName data/branchNameReasonList/0,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字"
DefaultData/BranchName data/branchNameReasonList/1,"命名分支分析：
合適：部分使用小寫英文字母
不合適：部分使用大寫英文字母"
DefaultData/BranchName data/branchNameReasonList/2,"命名分支分析：
合適：使用小寫英文字母
不合適：通過空格鍵來區分文字"
Quest Filter/Valider/Target File Name/0,"README.md"
