StageTitle,"審核與合併 Pull Request"
Story Background/Content/Story,"您是一位學生，在 '專案管理' 課程的後半部分。
老師要求學生們分成幾個組別，在 Git 服務平台上開發一款應用程式。

您與組員們決定開發一款 '貪吃蛇' 遊戲，
團隊將運用版本控制的知識和技術來提升開發效率。

同學 A 負責開發遊戲的主程式，並在名為 'main-script' 的分支上進行工作。
現在，遊戲的主要功能已經完成，並且同學 A 已經為遊戲增加了多樣的元素。

為了確保創建 Pull Request 的過程順利進行，
同學 A 在本地電腦上完成了合併前的確認流程。
之後，同學 A 在 Git 服務平台上創建了一個 Pull Request。

作為這個 Pull Request 的審核人員，您的任務是與同學 A 進行討論，
確保所有更改都是合適的。
在確認無誤後，您將負責把 'main-script' 分支合併至遠端主分支。"
Stage Quest/1,"開啟 '瀏覽器' 視窗"
Stage Quest/2,"在 Pull Request 上新增修改建議"
Stage Quest/3,"批准 Pull Request"
Stage Quest/4,"合併 Pull Request"
Stage Quest/5,"同步遠端 'master' 分支的內容
並更新 '提交記錄' 視窗"
NPCCommitData/NPC1,"同學 A"
CommitHistoryData/File data/ListContent/1,"# snake-game"
CommitHistoryData/File data/ListContent/2v1,"遊戲運行邏輯\n分數系統\n水果物件管理"
CommitHistoryData/File data/ListContent/2v2,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理"
CommitHistoryData/File data/ListContent/2v3,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理\n玩家衝刺系統\n精力條系統"
CommitHistoryData/File data/ListContent/2v4(fixed),"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理 (調整過後的炸彈爆炸範圍)\n玩家衝刺系統\n精力條系統"
CommitHistoryData/File data/ListLocation/0,"snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/2,"snake-game\主程式.cpp"
CommitHistoryData/File data/ListLocation/3,"snake-game\.git"
CommitHistoryData/File data/ListFileName/0,"snake-game"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/File data/ListFileName/2,"主程式.cpp"
NPCCommitData/NPC1,"同學 A"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"基本貪吃蛇遊戲完成"
CommitHistoryData/CommitMessage/3,"炸彈功能設計完成"
CommitHistoryData/CommitMessage/4,"玩家允許衝刺，並追加精力條系統"
CommitHistoryData/CommitMessage/5,"調整炸彈爆炸範圍"
RepoQuestData/Repo Quest/PRTitle,"遊戲功能開發: 完成 '貪吃蛇' 遊戲主程式開發"
RepoQuestData/Repo Quest/PRDes,"這個 Pull Request 包含了我在 'main-script' 分支上所做的變更。
我負責開發 '貪吃蛇' 遊戲的主程式，
現在主要功能已經完成，並且為遊戲增加了多樣的元素。

主要更改：
<b>· </b>遊戲運行邏輯：實現了貪吃蛇的基本操作和遊戲規則。
<b>· </b>分數系統：添加了記分板，用於記錄玩家的得分。
<b>· </b>水果物件管理：實現了水果的隨機生成和消失。
<b>· </b>炸彈物件管理：實現了炸彈的隨機生成和爆炸效果，以及爆炸範圍。
<b>· </b>玩家衝刺系統：添加了玩家衝刺的功能，消耗精力條。
<b>· </b>精力條系統：實現了精力條的顯示和消耗機制。"
BrowserWindow/PRDetailed/FileContent1,"遊戲運行邏輯"
BrowserWindow/PRDetailed/FileContent2,"分數系統"
BrowserWindow/PRDetailed/FileContent3,"水果物件管理"
BrowserWindow/PRDetailed/FileContent4,"炸彈物件管理 <color=#CF001C>(需要修改)</color>"
BrowserWindow/PRDetailed/FileContent4(fixed),"炸彈物件管理 (調整過後的炸彈爆炸範圍)"
BrowserWindow/PRDetailed/FileContent5,"玩家衝刺系統"
BrowserWindow/PRDetailed/FileContent6,"精力條系統"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/MainContent,"您好，經過多次的遊戲測試，目前 '貪吃蛇' 遊戲運行良好。
不過，我發現炸彈的爆炸範圍似乎有點太大，這可能會對玩家的遊戲體驗產生負面影響。
為了保持遊戲的平衡和可玩性，我建議調整炸彈的爆炸範圍。
謝謝。"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage1,"請稍微調整炸彈爆炸範圍"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage2,"謝謝您的建議，我會調整炸彈爆炸範圍至合理的數值"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage3,"您好，我調整了炸彈爆炸範圍。
目前應該可以讓玩家在有挑戰性的遊戲過程中同時保持樂趣。
再麻煩您審核本次的合併請求，謝謝。"
BrowserWindow/PRDetailed/Msg_3_ReviewChange(Approve)_Approve,"已審核並確認炸彈爆炸範圍已經縮小到比較合適的範圍。
並且目前遊戲運行正常，批准本次合併請求。"
