StageTitle,"保持分支同步"
Story Background/Content/Story,"您是一位學生，
在課程 '專案管理' 中，
老師要求學生們幾個人組成一隊，共同開發一個網站。

您和團隊成員一同使用 Git 來管理專案，
但是最近在開發過程中遇到了兩個問題，導致開發進度需要暫停。
問題一：
您經常在兩台不同的電腦上進行專案開發，
然而，最近發現電腦 A 的 '提交記錄' 落後於電腦 B 的版本。
而電腦 B 的修改內容已經上傳到遠端儲存庫。
為了能接著電腦 B 的內容繼續開發，
您需要先從遠端儲存庫裡同步內容到電腦 A 中。

問題二：
在開發過程中，其中一位隊員聯繫您。
希望您能夠協助他解決開發中遇到的問題。
為了提高開發效率，
您決定通過獲取對方的遠端分支的來尋找問題的解決方案。

面對以上這兩個問題，
您該如何運用學到的 Git 技能來解決呢？"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"切換到 'update-readme' 分支並同步遠端分支的內容"
Stage Quest/3,"更新 '提交記錄' 視窗"
Stage Quest/4,"查看遠端儲存庫中的所有分支"
Stage Quest/5,"獲取遠端分支 'member-branch' 到本地存儲庫中
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListContent/1/v1,"# 購物網站專案"
CommitHistoryData/File data/ListContent/1/v2,"# 購物網站專案\n建立網站原因"
CommitHistoryData/File data/ListLocation/0,"shopping-website"
CommitHistoryData/File data/ListLocation/1,"shopping-website\README.md"
CommitHistoryData/File data/ListLocation/2,"shopping-website\.git"
CommitHistoryData/File data/ListFileName/0,"shopping-website"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"新增 README 內容：建立網站原因"
NPCCommitData/Player1/ListContent/1,"# 購物網站專案\n建立網站原因\n網頁操作說明"
NPCCommitData/NPC1/ListContent/1,"# 購物網站專案\n網頁系統架構\n網頁截圖"
NPCCommitData/NPC1,"團隊成員 A"
NPCCommitData/CommitMessage/Player1,"新增 README 內容：操作說明"
NPCCommitData/CommitMessage/NPC1,"新增 README 內容：網頁系統架構和截圖"
