StageTitle,"Git 暫存區域的進階操作"
Story Background/Content/Story,"您是一位學生。
在課程 '專案管理' 中，老師提到了 '暫存區域' 的概念。

課後，您進行了多次練習。
現在能夠理解 '暫存區域' 的架構以及如何操作區域內容了。

不過，您發現基本指令無法一次將多個檔案進行移動。
這次，請試著使用進階的指令來移動檔案吧。"
Stage Quest/1,"開啟 '檔案管理' 視窗"
Stage Quest/2,"開啟 '暫存區域' 視窗"
Stage Quest/3,"將 '資料夾B' 中的檔案全部移入 '已追蹤'
並確認暫存區域"
Stage Quest/4,"將 '資料夾B' 中的檔案全部移出 '已追蹤'
並確認暫存區域"
Stage Quest/5,"將專案中所有檔案移入 '已追蹤'
並確認暫存區域"
Stage Quest/6,"將專案中所有檔案移出 '已追蹤'
並確認暫存區域"
DefaultData/File data/ListContent/2,"文件內容A\n文件內容B\n文件內容C"
DefaultData/File data/ListContent/3,"文件內容A\n文件內容B\n文件內容C"
DefaultData/File data/ListContent/4,"文件內容A\n文件內容B\n文件內容C"
DefaultData/File data/ListContent/5,"文件內容A\n文件內容B\n文件內容C"
DefaultData/File data/ListFileName/0,"資料夾A"
DefaultData/File data/ListFileName/1,"資料夾B"
DefaultData/File data/ListFileName/2,"文件B1.txt"
DefaultData/File data/ListFileName/3,"文件B2.txt"
DefaultData/File data/ListFileName/4,"文件B3.txt"
DefaultData/File data/ListFileName/5,"文件C.txt"
DefaultData/File data/ListLocation/0,"資料夾A"
DefaultData/File data/ListLocation/1,"資料夾B"
DefaultData/File data/ListLocation/2,"資料夾B\文件B1.txt"
DefaultData/File data/ListLocation/3,"資料夾B\文件B2.txt"
DefaultData/File data/ListLocation/4,"資料夾B\文件B3.txt"
DefaultData/File data/ListLocation/5,"文件C.txt"
Quest Tracker/StagingStatusData/ListLocation/0,"資料夾B\文件B1.txt"
Quest Tracker/StagingStatusData/ListLocation/1,"資料夾B\文件B2.txt"
Quest Tracker/StagingStatusData/ListLocation/2,"資料夾B\文件B3.txt"
Quest Tracker/StagingStatusData/ListLocation/3,"文件C.txt"
