GameManualItem/content/.gitAndGitCoreAreas/1,"當您確定好要管理的專案後，
我們需要在專案資料夾路徑下執行以下指令來創建 Git 管理系統："
GameManualItem/content/.gitAndGitCoreAreas/1/Command,git init
GameManualItem/content/.gitAndGitCoreAreas/1/Title,.git 資料夾介紹
GameManualItem/content/.gitAndGitCoreAreas/2,執行成功後，專案資料夾中將會生成一個名為 <color=#CF001C>.git</color> 的隱藏資料夾。
GameManualItem/content/.gitAndGitCoreAreas/3,"<color=#CF001C>.git</color> 是 Git 的核心組成部份，它將儲存與專案相關的所有資料，
包括所有版本修改歷史等信息。
如果沒有這個資料夾，您將無法執行大部分的 Git 指令。"
GameManualItem/content/.gitAndGitCoreAreas/4/Title,Git 的核心區域
GameManualItem/content/.gitAndGitCoreAreas/5,"Git 基本是由三個重要的區域所組成，這些區域將幫助我們使用 Git 來管理專案：

<b>1. 工作目錄 (Working Directory)：</b>
     專案資料夾內的區域都稱作工作目錄，
     包括專案中的文字、圖片檔案。
     在工作目錄中，我們將新增、編輯檔案內容來開發專案。

<b>2. 暫存區域 (Staging Area)：</b>
     暫存區域作為 '工作目錄' 與 '儲存庫' 之間的橋樑，
     我們將 '工作目錄' 中已修改的檔案移動到此區域。
     在準備完成後，通過指令一次性地將它們移動到 '儲存庫' 中，來創建一個新的 '提交'。

<b>3. 儲存庫 (Repository)：</b>
     儲存庫是 Git 的核心區域，它保存了專案中的所有記錄。
     當完成提交後，它將存放至 '儲存庫' 中的 '提交記錄' 區域中。
     這個區域有助於追蹤版本之間的變化。"
GameManualItem/content/.gitAndGitCoreAreas/5/tip,"實際上，<color=#CF001C>.git</color> 資料夾其實就是 '儲存庫'，
而 '暫存區域' 也位於這個資料夾中。"
GameManualItem/content/CheckBeforeMergeMainBrach/1,"在準備將開發完成的分支合併至遠端主分支前，
通過 '合併前的確認' 流程有助於確保合併後專案的完整性和避免合併衝突。

以下是應該進行確認的流程：

<b>1. 檢查分支的提交記錄：</b>
     請確認 '開發分支' 和 '主分支' 的提交記錄與遠端儲存庫一致。
     以確保後續的動作是有效的。

<b>2. 合併本地主分支：</b>
     將本地電腦中的 '主分支' 合併至 '開發分支' 中，
     通過這種方式來整合兩個分支的修改內容。

<b>3. 驗證合併後專案的運行狀態：</b>
     在合併後，需要檢查專案是否出現問題。
     如果發生問題，需要在本地將問題解決。

<b>4. 將合併後的 '開發分支' 上傳至遠端儲存庫：</b>
     當合併後的專案可以順利運行，或是將合併後造成的問題解決後。
     就可以將這個分支上傳至遠端。

當完成以上流程後，就能創建 Pull Request 合併請求。
讓合併後的 '開發分支' 合併至遠端主分支上。"
GameManualItem/content/common/command/example,使用範例
GameManualItem/content/common/command/hint,需要注意的地方
GameManualItem/content/common/command/scenario,使用情境
GameManualItem/content/common/command/use,用途
GameManualItem/content/common/commandDetailedTitle,指 令 細 節
GameManualItem/content/common/commandTitle,指 令 類 型 介 紹
GameManualItem/content/common/errorMsgTitle,錯誤訊息彈窗
GameManualItem/content/common/knowledgeTitle,知 識 介 紹
GameManualItem/content/common/tipTitle,小提醒：
GameManualItem/content/common/windowTitle,視 窗 介 紹
GameManualItem/content/DetachedHEAD/1,"分離 HEAD（Detached HEAD）是一種情況，
指的是當目前 HEAD 位於某個提交上，而不在 Git 儲存庫中的任何分支上時。

這種情況通常發生在我們使用以下指令時："
GameManualItem/content/DetachedHEAD/1/Command,git checkout <color=#CF001C>提交ID</color>
GameManualItem/content/DetachedHEAD/1/Image,HEAD（分離）
GameManualItem/content/DetachedHEAD/2,"這個指令會將 HEAD 移動到指定的提交，此時 HEAD 會處於 '分離 HEAD' 狀態。

如果在這種情況下創建新的提交，它將不屬於任何分支。
這些提交不僅存在丟失的風險，還會引起專案管理上的麻煩。

因此，當我們切換到其他提交以查看檔案內容後。
如果要繼續開發功能，請不要忘記要切換指定分支上。
您可以使用以下指令來切換回指定分支："
GameManualItem/content/DetachedHEAD/2/Command,git checkout <color=#CF001C>分支名稱</color>
GameManualItem/content/DetachedHEAD/2/tip,"在遊戲中，當分離 HEAD 的情況發生時，
在提交記錄視窗中的分支列表上，會出現 <color=#CF001C>HEAD（分離）</color>文字。
點擊它後，所有的提交都會變成透明的。
此外，遊戲會提醒您在分離 HEAD 情況下無法進行提交。"
GameManualItem/content/git add/1,"<color=#CF001C>git add</color> 是與 '暫存區域' 有關的指令類型。
透過這個指令，將檔案內容從工作目錄加入到 '暫存區域'。

成功將檔案加入 '暫存區域' 後，這些檔案會被標記為 '已追蹤'。
它們將作為下一次的 '提交'（版本記錄）。"
GameManualItem/content/git add/commandDetail/1,git add <color=#CF001C>指定的檔案名稱</color>
GameManualItem/content/git add/commandDetail/1/example,"當使用者 A 已經完成對 '文章A.txt' 的修改後，
可以執行以下指令，將該檔案加入到 '暫存區域' 中："
GameManualItem/content/git add/commandDetail/1/exampleBox,git add <color=#CF001C>文章A.txt</color>
GameManualItem/content/git add/commandDetail/1/hint,"<b>1. 無法即時更新內容：</b>
     執行指令後，不會立即看到即時的反饋。
     請使用 <color=#CF001C>git status</color> 指令查看最新的 '暫存區域' 狀態。"
GameManualItem/content/git add/commandDetail/1/scenario,1. 希望將特定檔案的更改保存為記錄時。
GameManualItem/content/git add/commandDetail/1/use,將特定檔案加入到 '已追蹤' 中。
GameManualItem/content/git add/commandDetail/2,git add <color=#CF001C>資料夾名稱</color>
GameManualItem/content/git add/commandDetail/2/example,"當使用者 A 想要一次性將 '網站圖片庫' 資料夾中的所有檔案加入到 '暫存區域' 時。
可以執行以下指令："
GameManualItem/content/git add/commandDetail/2/exampleBox,git add <color=#CF001C>網站圖片庫</color>
GameManualItem/content/git add/commandDetail/2/scenario,1. 想要將一個資料夾中的所有檔案一次性加入 '已追蹤' 時。
GameManualItem/content/git add/commandDetail/2/use,將指定資料夾中的所有檔案一次性加入到 '已追蹤' 中。
GameManualItem/content/git add/commandDetail/3,git add <color=#CF001C>.</color>
GameManualItem/content/git add/commandDetail/3/example,"當使用者 A 需要初始化一個新的 Git 專案，
將整個工作目錄中的檔案加入 '暫存區域' 時。
可以執行以下指令："
GameManualItem/content/git add/commandDetail/3/exampleBox,git add <color=#CF001C>.</color>
GameManualItem/content/git add/commandDetail/3/scenario,"1. 想要一次性將整個工作目錄下的所有檔案加入到 '已追蹤' 中。
2. 第一次建立 Git 管理系統時，用於初始化專案。"
GameManualItem/content/git add/commandDetail/3/use,一次性將命令行所在路徑下的所有檔案加入到 '已追蹤' 中。
GameManualItem/content/git branch/1,"<color=#CF001C>git branch</color> 是與 '分支管理'、'遠端管理' 有關的指令類型。

這個指令可以執行各種分支管理操作，包括查看、新增、刪除等。

此外，加入特定參數可以查看遠端儲存庫中的遠端分支。
通常會與 <color=#CF001C>git checkout</color> 指令類型結合使用。"
GameManualItem/content/git branch/commandDetail/1,git branch
GameManualItem/content/git branch/commandDetail/1/example,"當使用者 A 需要查看本地儲存庫中的所有分支，以及 HEAD 所在的位置時。
可以執行以下指令："
GameManualItem/content/git branch/commandDetail/1/exampleBox,git branch
GameManualItem/content/git branch/commandDetail/1/hint,"<b>1. 與 <color=#CF001C>git log</color> 指令的區別：</b>
     雖然這兩個指令都可以查看分支，但它們的用途不同。
     <color=#CF001C>git log</color> 用於查看分支的 '提交記錄'。
     <color=#173D91>git branch</color> 用於查看儲存庫中的所有分支。"
GameManualItem/content/git branch/commandDetail/1/scenario,"1. 確認當前 HEAD 所在位置。
2. 查看儲存庫中有哪些本地分支。"
GameManualItem/content/git branch/commandDetail/1/use,"查看當前本地儲存庫中所有本地分支的名稱。
同時也會顯示目前 HEAD 位於哪一個 '分支' 或 '提交'。"
GameManualItem/content/git branch/commandDetail/2,git branch <color=#CF001C>分支名稱</color>
GameManualItem/content/git branch/commandDetail/2/example,"當使用者 A 需要在專案中開發新功能時，
可以執行以下指令以創建新的分支："
GameManualItem/content/git branch/commandDetail/2/exampleBox,git branch <color=#CF001C>new-feature</color>
GameManualItem/content/git branch/commandDetail/2/hint,"<b>1. 創建分支後需要切換到該分支：</b>
     這個指令僅用於創建分支。
     如果要在新創建的分支上進行開發，還需要使用 <color=#CF001C>git checkout</color> 指令切換到該分支。

<b>2. 分支名稱要具體而清晰：</b>
     為了讓自己和團隊能夠快速了解分支的內容和目的，請確保分支名稱具體而清晰。"
GameManualItem/content/git branch/commandDetail/2/scenario,"1. 需要在專案上修復問題。
2. 需要在專案上開發新功能。"
GameManualItem/content/git branch/commandDetail/2/use,"創建一個新的本地分支。
這個分支將基於當前 HEAD 指向的 '提交' 創建，並含有其他舊的 '提交'。"
GameManualItem/content/git branch/commandDetail/3,"git branch <color=#CF001C>-d 或 --delete</color> <color=""#173D91"">分支名稱</color>"
GameManualItem/content/git branch/commandDetail/3/example,"當使用者 A 已將開發功能的分支合併到主分支時，
執行以下指令來刪除分支："
GameManualItem/content/git branch/commandDetail/3/exampleBox,"git branch <color=#CF001C>-d</color> <color=""#173D91"">new-feature</color>"
GameManualItem/content/git branch/commandDetail/3/hint,"<b>1. 刪除分支前，請確保已將 HEAD 移動到其他位置：</b>
     為了成功執行刪除分支指令，請確保 HEAD 已經移動到其他分支或提交上。"
GameManualItem/content/git branch/commandDetail/3/scenario,1. 當分支已經完成目標並合併到主分支時。
GameManualItem/content/git branch/commandDetail/3/use,將指定的本地分支從本地儲存庫中刪除。
GameManualItem/content/git branch/commandDetail/4,git branch <color=#CF001C>-r 或 --remote</color>
