StageTitle,"切換專案版本"
Story Background/Content/Story,"您是一位優秀的程式測試人員。
最近，您的同事最近開發了一個 BMI 計算器。 
然而您發現最新版本的程式運行會出錯。

您認為這個錯誤可能來自於前面編寫的程式碼，
切換回舊的版本會讓您發現錯誤原因的速度提升。

您的任務是使用 Git 來追蹤這個錯誤發生的時點。
當您發現錯誤後，記下錯誤的行數，請回到最新版本上修復它。"
Stage Quest/1,"確認 'BMI計算器.c' 的內容"
Stage Quest/2,"切換到第 2 個提交版本，並更新 '提交記錄' 視窗"
Stage Quest/3,"確認 'BMI計算器.c' 的內容"
Stage Quest/4,"切換到第 3 個提交版本，並更新 '提交記錄' 視窗"
Stage Quest/5,"確認 'BMI計算器.c' 的內容"
Stage Quest/6,"切換到 'master' 分支，並更新 '提交記錄' 視窗"
Stage Quest/7,"修正錯誤的程式內容"
CommitHistoryData/File data/ListContent/0,"BMI計算器執行主程式"
CommitHistoryData/File data/ListContent/1,"BMI計算器執行主程式\n輸入偵測程式 <color=#173D91>(沒有問題！)</color>"
CommitHistoryData/File data/ListContent/2,"BMI計算器執行主程式\n輸入偵測程式\n計算 BMI 程式 <color=#CF001C>(錯誤！)</color>"
CommitHistoryData/File data/ListContent/3,"BMI計算器執行主程式\n輸入偵測程式\n計算 BMI 程式 <color=#FFE6C6>(需要修改)</color>\m正確的計算 BMI 程式 (已修改)\n顯示 BMI 結果程式 <color=#173D91>(沒有問題！)</color>"
CommitHistoryData/File data/ListFileName/0,"BMI計算器.c"
CommitHistoryData/File data/ListLocation/0,"BMI計算器.c"
Quest Filter/Valider/Target File Name/1,"BMI計算器.c"
Quest Valider/Valider/0,"BMI計算器.c"
CommitHistoryData/CommitMessage/1,"初始化 BMI 計算器"
CommitHistoryData/CommitMessage/2,"編寫 '輸入偵測程式'"
CommitHistoryData/CommitMessage/3,"編寫 '計算 BMI 程式'"
CommitHistoryData/CommitMessage/4,"編寫 '顯示 BMI 結果程式'"
NPCCommitData/NPC1,"同事 A"
