StageTitle,Tự động hợp nhất
Story Background/Content/Story,"Bạn là một nhà thiết kế web và bạn đang xây dựng trang web của mình trong thời gian gần đây.
Để quản lý website hiệu quả hơn, bạn quyết định sử dụng Git để quản lý dự án.

Bạn phân phối nhiệm vụ cho nhiều chi nhánh theo loại và mục đích của chúng.
Cuối cùng, bạn sẽ hợp nhất các nhánh đã phát triển thành nhánh chính.

Bây giờ xin hãy tiếp tục phát triển nội dung web 
và hợp nhất các tính năng đã hoàn thành vào nhánh chính."
Stage Quest/1,Mở cửa sổ 'Commit History'.
Stage Quest/2,"Tạo và chuyển sang nhánh mới được tạo.
Sau đó cập nhật cửa sổ 'Commit History'."
Stage Quest/3,Thêm tính năng mới trên nhánh 'new-article'.
Stage Quest/4,"Tạo một commit mới.
Sau đó cập nhật cửa sổ 'Commit History'."
Stage Quest/5,"Chuyển sang nhánh 'master'.
Sau đó cập nhật cửa sổ 'Commit History'."
Stage Quest/6,"Hợp nhất nhánh 'new-design'.
Sau đó cập nhật cửa sổ 'Commit History'."
Stage Quest/7,"Hợp nhất nhánh 'new-article'.
Sau đó cập nhật cửa sổ 'Commit History'."
Stage Quest/8,"Xóa nhánh 'new-design' và 'new-article'.
Sau đó cập nhật cửa sổ 'Commit History'."
DefaultData/Commit data/commitMessageList/0,Add Article: Three Merging Modes in Git
DefaultData/Commit data/commitMessageList/1,Add articles in webpage.
DefaultData/Commit data/commitMessageList/2,Update Webpage.
DefaultData/Commit data/commitMessageReasonList/0,"Commit message analysis:
This message is clear and specific.
It tells people what articles have been added."
DefaultData/Commit data/commitMessageReasonList/1,"Commit message analysis:
Although this commit message mentions adding articles, 
it lacks details about what articles have been added."
DefaultData/Commit data/commitMessageReasonList/2,"Commit message analysis:
This message is not clear! 
It doesn't have enough information."
CommitHistoryData/File data/ListContent/0,Webpage basic framework\aTitle: Three Merging Modes in Git
CommitHistoryData/File data/ListContent/1,Font: Times New Roman\nText color: Orange
CommitHistoryData/File data/ListFileName/0,My_Homepage.html
CommitHistoryData/File data/ListFileName/1,Web_Stylesheet.css
CommitHistoryData/File data/ListLocation/0,My_Homepage.html
CommitHistoryData/File data/ListLocation/1,Web_Stylesheet.css
CommitHistoryData/CommitMessage/1,Initialize the webpage project.
CommitHistoryData/CommitMessage/2,Add font and color to 'Web_Stylesheet.css'.
AutoMergeData/Quest 7/ListContent/0,Webpage basic framework\nTitle: Three Merging Modes in Git
DefaultData/BranchName data/branchNameList/0,new-article
DefaultData/BranchName data/branchNameList/1,new-article-in-my-website
DefaultData/BranchName data/branchNameList/2,new article
DefaultData/BranchName data/branchNameReasonList/0,"Naming branch analysis:
Good: Using lowercase letters and hyphens (-)."
DefaultData/BranchName data/branchNameReasonList/1,"Naming branch analysis:
Good: Using lowercase letters and hyphens (-).
Bad: This branch name is a bit too long."
DefaultData/BranchName data/branchNameReasonList/2,"Naming branch analysis:
Good: Using lowercase letters.
Bad: Using space to divide words."
Quest Filter/Valider/Target File Name/0,My_Homepage.html
