StageTitle,"自動合併分支"
Story Background/Content/Story,"您是一位學生。
最近在 '手機程式應用開發' 課程中，
老師要求兩個學生組成一組，共同製作一款簡單的手機應用。

您和您的組員決定開發一款名為「猜數字」的遊戲。
您的組員負責設計手機應用的外觀，而您則負責實現遊戲的運行邏輯。

目前，您的組員已經完成了手機界面的設計，
將開發成果放到了 'ui-design' 分支上。

您也在名為 'java-activity' 的分支上完成了部分遊戲邏輯的開發。
現在，請您繼續完成遊戲邏輯開發。
並將最後完成的內容合併到主分支上。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在 'java-activity' 的分支上新增遊戲邏輯"
Stage Quest/3,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/4,"將開發完成的 'ui-design' 分支合併回主分支上
並更新 '提交記錄' 視窗"
Stage Quest/5,"將開發完成的 'java-activity' 分支合併回主分支上
並更新 '提交記錄' 視窗"
Stage Quest/6,"刪除完成合併的所有分支
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListFileName/0,"猜數字專案"
CommitHistoryData/File data/ListLocation/0,"猜數字專案"
CommitHistoryData/File data/ListContent/1v1,"請輸入 4 個數字：\n數字輸入欄"
CommitHistoryData/File data/ListContent/1v2,"請輸入 4 個數字：\n數字輸入欄\n猜數字按鈕\n執行結果：0A，0B"
CommitHistoryData/File data/ListContent/1,"請輸入 4 個數字：\n數字輸入欄\n猜數字按鈕\n執行結果：0A，0B"
CommitHistoryData/File data/ListFileName/1,"手機主界面.xml"
CommitHistoryData/File data/ListLocation/1,"猜數字專案\手機主界面.xml"
CommitHistoryData/File data/ListContent/2,"按鈕點擊事件\n隨機數生成功能\n獲取玩家輸入數字\a比較答案功能"
CommitHistoryData/File data/ListContent/2v2,"按鈕點擊事件\n隨機數生成功能\n獲取玩家輸入數字\n比較答案功能"
CommitHistoryData/File data/ListFileName/2,"主程式.java"
CommitHistoryData/File data/ListLocation/2,"猜數字專案\主程式.java"
CommitHistoryData/File data/ListLocation/3,"猜數字專案\.git"
CommitHistoryData/CommitMessage/1,"初始化手機應用專案"
CommitHistoryData/CommitMessage/2,"手機界面設計：遊戲說明、輸入欄位"
CommitHistoryData/CommitMessage/3,"手機界面設計：猜數字按鈕、執行結果"
CommitHistoryData/CommitMessage/4,"遊戲邏輯設計：按鈕點擊與獲取玩家動作"
DefaultData/Commit data/commitMessageList/0,"新增程式：比較答案並回傳給玩家"
DefaultData/Commit data/commitMessageList/1,"完成遊戲開發"
DefaultData/Commit data/commitMessageList/2,"合併提交"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
提交訊息明確，可以幫助開發人員理解此提交的作用"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
未指出本提交修改的內容"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
與本次開發內容無關"
NPCCommitData/NPC1,"同學 A"
Quest Filter/Valider/Target File Name/0,"主程式.java"
