StageTitle,"合併前的確認"
Story Background/Content/Story,"您是一位學生，
在課程 '專案管理' 中，
老師要求學生們幾個人組成一隊，共同開發一個網站。

您和團隊成員一同使用 Git 來管理專案，
每個人分別在自己的分支開發功能。

您在禮拜五建立了 'update-readme' 分支，
用於新增 'README.md' 的內容。

由於下週有其他課程的考試，您決定暫時停止開發。
考完試後，您繼續完成 'update-readme' 分支上的目標。

但是，您發現遠端主分支上，
已經有團員將開發內容合併上去了。

在這種情況下，您的分支相對來說是舊的版本。
這樣子是無法合併到主分支上的。

請想辦法讓開發完成的分支，
變得可以準備合併到遠端主分支上吧。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"同步遠端 'master' 分支的內容
並更新 '提交記錄' 視窗"
Stage Quest/3,"同步遠端 'update-readme' 分支的內容
並更新 '提交記錄' 視窗"
Stage Quest/4,"將 'master' 分支合併到 'update-readme' 分支"
Stage Quest/5,"解決 'README.md' 文件衝突"
Stage Quest/6,"創建解決衝突後的提交
並更新 '提交記錄' 視窗"
Stage Quest/7,"確認合併後的專案運作正常"
Stage Quest/8,"將 'update-readme' 分支上傳到遠端儲存庫
並更新 '提交記錄' 視窗"
DefaultData/Commit data/commitMessageList/0,"解決 'update-readme' 分支與 'master' 分支的合併衝突"
DefaultData/Commit data/commitMessageList/1,"解決合併衝突"
DefaultData/Commit data/commitMessageList/2,"修改 README 檔案內容"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
這個提交消息明確指出解決了哪兩個分支的合併衝突
讓其他團隊成員了解這次提交的目的"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
這個提交消息雖然提到了解決衝突
但是相對來說比較模糊，並不是最合適的提交訊息"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
本次在解決合併衝突時修改了 'README.md' 檔案的內容
但是並沒有提到與文件衝突有關的訊息
這會導致其他開發者認為本次合併沒有發生文件衝突"
CommitHistoryData/File data/ListContent/1/v1,"# 購物網站專案"
CommitHistoryData/File data/ListContent/1/v2,"# 購物網站專案\n建立網站原因"
CommitHistoryData/File data/ListContent/1/v3,"# 購物網站專案\n建立網站原因\n網頁操作說明"
CommitHistoryData/File data/ListLocation/0,"shopping-website"
CommitHistoryData/File data/ListLocation/1,"shopping-website\README.md"
CommitHistoryData/File data/ListLocation/2,"shopping-website\.git"
CommitHistoryData/File data/ListFileName/0,"shopping-website"
CommitHistoryData/File data/ListFileName/1,"README.md"
AutoMergeData/Quest 4/ListContent/1,"# 購物網站專案\n<<<<<<< HEAD\n建立網站原因\n網頁操作說明\n=======\n網頁系統架構\n網頁截圖\n>>>>>>> master"
NPCCommitData/NPC1,"團隊成員 A"
NPCCommitData/CommitMessage/NPC1,"新增 README 內容：網頁系統架構和截圖"
NPCCommitData/NPC1/ListContent/1,"# 購物網站專案\n網頁系統架構\n網頁截圖"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"新增 README 內容：建立網站原因"
CommitHistoryData/CommitMessage/3,"新增 README 內容：操作說明"
Quest Filter/Valider/Target File Name/0,"README.md"
Quest Filter/Valider/Target File Name/1,"shopping-website\README.md"
