StageTitle,"遊戲介紹"
Story Background/Content/Story,"您是一位學生。
在課程 '專案管理' 中，老師在課堂中介紹了什麼是版本控制和 Git。

課後，老師出了一份作業。
要求學生們介紹並比較 '備份檔案' 和 '版本控制' 這兩個管理方式。

現在，請您試著完成簡報內容吧。"
Stage Quest/1,"開啟 '檔案管理' 視窗"
Stage Quest/2,"備份檔案 '作業報告_v1.docx'"
Stage Quest/3,"為備份後的檔案命名"
Stage Quest/4,"新增檔案內容"
Stage Quest/5,"備份檔案 '作業報告_v2.docx'"
Stage Quest/6,"為備份後的檔案命名"
Stage Quest/7,"修改最新版本檔案的內容"
DefaultData/File data/ListContent/1,"報告題目：管理專案的方式\n介紹備份檔案\n介紹什麼是 Git\n通過表格比較它們的差異\a總結：備份檔案更適合用於管理專案 <color=#CF001C>(需要修改)</color>\m總結：版本控制更適合用於管理專案 (已修改)"
DefaultData/File data/ListFileName/1,"作業報告_v1.docx"
DefaultData/File data/ListLocation/1,"作業報告_v1.docx"
Quest Filter/Valider/Target File Name/v2,"作業報告_v2.docx"
Quest Filter/Valider/Target File Name/v3,"作業報告_v3.docx"
