LoginButton/Not Login/LoginButtonText,"登入"
LoginButton/Not Login/SignUpButtonText,"註冊"
LoginButton/Login/HelloText,"您好，"
LoginButton/Login/LogOutButtonText,"登出"
StartGameButton/StartGameButtonText,"開始遊戲"
SelectLanguagePopup/SelectLanguageTitle,"選 擇 語 言"
SignUpPopup/SignUpTitle,"註 冊"
SignUpPopup/TextBoxTitile(UserName),"使用者名稱"
SignUpPopup/TextBoxTitile(Password),"密碼"
SignUpPopup/SignUpWarningText/Failed(AlreadyExist),"此帳號已被註冊"
SignUpPopup/SignUpWarningText/Failed(Cannot connect),"網絡連接失敗，請重新再試"
LogInPopup/LogInTitle,"登 入"
LogInPopup/TextBoxTitile(UserName),"使用者名稱"
LogInPopup/TextBoxTitile(Password),"密碼"
LogInPopup/LogInWarningText/Failed(username not found),"找不到這個帳號"
LogInPopup/LogInWarningText/Failed(password incorrect),"密碼輸入錯誤"
LogInPopup/LogInWarningText/Failed(Cannot connect),"網絡連接失敗，請重新再試"
LogInPopup/LogInWarningText/Failed(need login),"需要登入"
LogOutPopup/LogOutTitle,"警 告"
LogOutPopup/LogOutWarningText,"您確定要登出嗎？"
Common/Button/Yes,"是"
Common/Button/No,"否"
ResultMessagePopup/ResultText/LogIn,"登入成功！"
ResultMessagePopup/ResultText/LogOut,"登出成功！"
ResultMessagePopup/ResultText/SignUp,"註冊成功！"
TooltipMessage/SelectLanguage,"語言"
