StageTitle,"合併前的確認"
Story Background/Content/Story,"您是一位學生，在 '專案管理' 課程的後半部分。
老師要求學生們分成幾個組別，在 Git 服務平台上開發一款應用程式。

您與組員們決定開發一款 '貪吃蛇' 遊戲，
團隊將運用版本控制的知識和技術來提升開發效率。

您負責的工作是寫好 'README' 檔案，
而在最近您在 'update-readme' 分支上完成了 'README' 檔案的撰寫。

現在，為了確保之後在 Pull Request 的過程中不會發生合併衝突。
請您需要在本地電腦中進行一次 '合併前的確認' 流程。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"同步遠端 'master' 分支的內容
並更新 '提交記錄' 視窗"
Stage Quest/3,"同步遠端 'update-readme' 分支的內容
並更新 '提交記錄' 視窗"
Stage Quest/4,"將 'master' 分支合併到 'update-readme' 分支
並更新 '提交記錄' 視窗"
Stage Quest/5,"確認合併後的專案運作正常"
Stage Quest/6,"將 'update-readme' 分支上傳到遠端儲存庫
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListContent/1,"# snake-game"
CommitHistoryData/File data/ListContent/2v1,"遊戲運行邏輯\n分數系統\n水果物件管理"
CommitHistoryData/File data/ListContent/2v2,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理"
CommitHistoryData/File data/ListContent/2v3,"遊戲運行邏輯\n分數系統\n水果物件管理\n炸彈物件管理\n玩家衝刺系統\n精力條系統"
CommitHistoryData/File data/ListContent/1v2,"# snake-game\n這是一款改良版的貪吃蛇遊戲。\n遊戲中會出現多個物件，吃到水果會加分，如果玩家被炸彈炸到遊戲就結束了。"
CommitHistoryData/File data/ListContent/1v3,"# snake-game\n這是一款改良版的貪吃蛇遊戲。\n遊戲中會出現多個物件，吃到水果會加分，如果玩家被炸彈炸到遊戲就結束了。\n遊戲特色：\n<b>· </b>一段時間內出現多個物件\n<b>· </b>出現炸彈的一段時間後會爆炸，如果玩家在爆炸範圍內就算遊戲結束\n<b>· </b>遊戲設有精力條，玩家可以衝刺"
CommitHistoryData/File data/ListLocation/0,"snake-game"
CommitHistoryData/File data/ListLocation/1,"snake-game\README.md"
CommitHistoryData/File data/ListLocation/2,"snake-game\主程式.cpp"
CommitHistoryData/File data/ListLocation/3,"snake-game\.git"
CommitHistoryData/File data/ListFileName/0,"snake-game"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/File data/ListFileName/2,"主程式.cpp"
NPCCommitData/NPC1,"同學 A"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"基本貪吃蛇遊戲完成"
CommitHistoryData/CommitMessage/5,"貪吃蛇遊戲介紹"
CommitHistoryData/CommitMessage/6,"貪吃蛇遊戲特色介紹"
CommitHistoryData/CommitMessage/3,"炸彈功能設計完成"
CommitHistoryData/CommitMessage/4,"玩家允許衝刺，並追加精力條系統"
Quest Valider/Valider/0,"主程式.cpp"
