TooltipMessage/GlobalLeaderboardButton,"全球排行榜"
Window/TitleText,"全 球 排 行 榜"
Window/LeaderboardCategory/StageBestRecords,"通過關卡最佳成績"
Window/LeaderboardCategory/TotalGameScores,"遊戲總得分"
Window/LeaderboardCategory/GameCompletion,"遊戲完成度"
Content/StageBestRecord/LeaderboardEntry/Rank,"名次"
Content/StageBestRecord/LeaderboardEntry/UserName,"使用者名稱"
Content/StageBestRecord/LeaderboardEntry/StarsEarned,"關卡獲得星數"
Content/StageBestRecord/LeaderboardEntry/StageScore,"關卡得到分數"
Content/StageBestRecord/LeaderboardEntry/TotalStageTime,"完成關卡總時間"
Content/TotalScore/LeaderboardEntry/Rank,"名次"
Content/TotalScore/LeaderboardEntry/UserName,"使用者名稱"
Content/TotalScore/LeaderboardEntry/TotalGameScore,"遊戲總獲得分數"
Content/TotalScore/LeaderboardEntry/AchievePlayTime,"達成分數的總遊戲時長"
Content/GameCompletion/LeaderboardEntry/Rank,"名次"
Content/GameCompletion/LeaderboardEntry/UserName,"使用者名稱"
Content/GameCompletion/LeaderboardEntry/GameCompletion,"遊戲完成度"
Content/GameCompletion/LeaderboardEntry/AchievePlayTime,"達成完成度時的總遊戲時長"
ProcessPopup/OopsPage/Title,"Oops！找不到頁面"
ProcessPopup/OopsPage/Content,"網絡連接失敗，請重新再試"
ProcessPopup/Loading,"加載中"
Stage/Game Introduction,"遊戲介紹"
Stage/Version Control and Git,"版本控制與 Git 的介紹"
Stage/Create Local Repository,"創建您的第一個本地儲存庫"
Stage/Basic Staging Area,"Git 暫存區域的基礎操作"
Stage/Advanced Staging Area,"Git 暫存區域的進階操作"
Stage/Creating First Version,"創建您的第一個 Git 專案版本"
Stage/Switching Project Versions,"切換專案版本"
Stage/Git Branching Basics,"Git 分支基礎教學"
Stage/Fast-Forward Merging,"快進合併分支"
Stage/Auto Merging,"自動合併分支"
Stage/Merge Conflicts,"解決合併衝突"
Stage/Create Remote Repository,"創建您的第一個遠端儲存庫"
Stage/Push to Remote Branches,"創建與推送遠端分支"
Stage/Keep Branches in Sync,"保持分支同步"
Stage/Preparation for Merging,"合併前的確認"
Stage/Creating a Pull Request,"創建 Pull Request"
Stage/Review and Merge Pull Requests,"審核與合併 Pull Request"
