StageTitle,Hợp nhất Fast-Forward
Story Background/Content/Story,"Bạn là thành viên mới gia nhập nhóm phát triển trò chơi, 
hiện chịu trách nhiệm thiết kế nhân vật.
Nhóm muốn bạn thêm tập lệnh phát hiện cuộc tấn công vào hành vi của nhân vật.

Thực hiện đúng nguyên tắc phát triển, 
các nhà phát triển nên triển khai các tính năng trên các nhánh của riêng họ.
Hãy thử tạo một nhánh mới và bắt đầu phát triển nội dung trên đó!"
Stage Quest/1,Mở cửa sổ 'Commit History'
Stage Quest/2,"Tạo một nhánh trên nhánh 'master'
và cập nhật cửa sổ 'Commit History'"
Stage Quest/3,"Thêm phát hiện hành vi tấn công nhân vật
trên nhánh phát triển"
Stage Quest/4,"Tạo một commit mới
và cập nhật cửa sổ 'Commit History'"
Stage Quest/5,"Chuyển sang nhánh 'master'
và cập nhật cửa sổ 'Commit History'"
Stage Quest/6,"Hợp nhất nhánh 'new-character-action'
và cập nhật cửa sổ 'Commit History'"
Stage Quest/7,"Xóa nhánh 'new-character-action'
và cập nhật cửa sổ 'Commit History'"
CommitHistoryData/File data/ListFileName/0,Character_Project
CommitHistoryData/File data/ListLocation/0,Character_Project
CommitHistoryData/File data/ListContent/1,Sprite Title\nSprite Content
CommitHistoryData/File data/ListFileName/1,Character_Sprite.png
CommitHistoryData/File data/ListLocation/1,Character_Project\Character_Sprite.png
CommitHistoryData/File data/ListFileName/2,Character_Lore.txt
CommitHistoryData/File data/ListContent/2,Character Name\nStory Background\nPersonality
CommitHistoryData/File data/ListLocation/2,Character_Project\Character_Lore.txt
CommitHistoryData/File data/ListFileName/3,Character_Behavior.cs
CommitHistoryData/File data/ListContent/3,Walk Detection\nDialogue Detection\aAttack Detection
CommitHistoryData/File data/ListLocation/3,Character_Project\Character_Behavior.cs
CommitHistoryData/File data/ListLocation/4,Character_Project\.git
CommitHistoryData/CommitMessage/1,Initialize character project
CommitHistoryData/CommitMessage/2,Design character visual assets
CommitHistoryData/CommitMessage/3,Design character backstory and lore
CommitHistoryData/CommitMessage/4,Design basic character behaviors
Quest Filter/Valider/Target File Name/0,Character_Behavior.cs
DefaultData/Commit data/commitMessageList/0,Add character behavior: character can perform attack detection
DefaultData/Commit data/commitMessageList/1,add new code
DefaultData/Commit data/commitMessageList/2,add new commit
DefaultData/Commit data/commitMessageReasonList/0,"Commit Message Analysis:
The commit message is clear and specific, helping developers understand the purpose of this commit."
DefaultData/Commit data/commitMessageReasonList/1,"Commit Message Analysis:
The commit message is not specific enough."
DefaultData/Commit data/commitMessageReasonList/2,"Commit Message Analysis:
The commit message is not specific enough."
DefaultData/BranchName data/branchNameList/0,new-character-action
DefaultData/BranchName data/branchNameList/1,character
DefaultData/BranchName data/branchNameList/2,角色新動作
DefaultData/BranchName data/branchNameReasonList/0,"Branch Naming Analysis:
Appropriate: Uses lowercase letters and differentiates words using the '-' symbol."
DefaultData/BranchName data/branchNameReasonList/1,"Branch Naming Analysis:
Appropriate: Uses lowercase letters.
Inappropriate: Too generic; might cause confusion for other developers."
DefaultData/BranchName data/branchNameReasonList/2,"Branch Naming Analysis:
Inappropriate: Uses Chinese characters to name the branch."
NPCCommitData/NPC1,Colleague  A
NPCCommitData/NPC2,Colleague  B
NPCCommitData/NPC3,Colleague  C
