StageTitle,"Git 分支基礎教學"
Story Background/Content/Story,"您是一位學生。
在課程 '專案管理' 中，老師在今天的課程裡提到了什麼是 '分支'。

本次要製作的專題是 '俄羅斯方塊' 遊戲，
而您已經順利地完成基本遊戲的製作。
距離期限還有一段時間，您決定為遊戲增加新的玩法。

為了確保目前完好的遊戲內容不會因新功能開發失敗所影響，
您決定使用分支管理的技術來協助開發。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在最新的提交上創建分支"
Stage Quest/3,"確認 '提交記錄' 視窗的狀態"
Stage Quest/4,"查看本地儲存庫中的所有分支"
Stage Quest/5,"切換到新創建的分支
並更新 '提交記錄' 視窗"
Stage Quest/6,"在新的分支上開發新功能"
Stage Quest/7,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/8,"切換到 'master' 分支
並更新 '提交記錄' 視窗"
Stage Quest/9,"刪除新創建的分支
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListContent/0,"遊戲開始畫面"
CommitHistoryData/File data/ListContent/1/v1,"遊戲開始畫面\n分數機制（有問題）\n連成一條線判斷\n遊戲結束"
CommitHistoryData/File data/ListContent/1/v2,"遊戲開始畫面\n分數機制（已修復）\n連成一條線判斷\n遊戲結束\a新增 RPG 元素到遊戲中"
CommitHistoryData/File data/ListFileName/0,"主程式.c"
CommitHistoryData/File data/ListLocation/0,"主程式.c"
CommitHistoryData/CommitMessage/1,"初始化俄羅斯方塊遊戲"
CommitHistoryData/CommitMessage/2,"遊戲基本機制完成"
CommitHistoryData/CommitMessage/3,"修復分數機制計算錯誤"
Quest Filter/Valider/Target File Name/0,"主程式.c"
DefaultData/Commit data/commitMessageList/0,"新增 RPG 元素：玩家可以使用技能輔助遊玩"
DefaultData/Commit data/commitMessageList/1,"新增提交"
DefaultData/Commit data/commitMessageList/2,"在主程式中新增功能"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
這個提交消息提到為專案新增 RPG 元素
開發者可以快速了解這個提交開發出技能系統"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
訊息過於簡單！
沒有提供足夠信息來讓人理解本次提交的目的或內容"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
這個提交消息雖然提到了更新主程式
但卻無法讓人知道這個新增的程式作用是什麼"
DefaultData/BranchName data/branchNameList/0,"new-feature"
DefaultData/BranchName data/branchNameList/1,"NewFeature"
DefaultData/BranchName data/branchNameList/2,"新功能"
DefaultData/BranchName data/branchNameReasonList/0,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字"
DefaultData/BranchName data/branchNameReasonList/1,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字
不合適：部分使用大寫英文字母"
DefaultData/BranchName data/branchNameReasonList/2,"命名分支分析：
不合適：使用中文字來命名分支"
