TooltipMessage/GameManualButton/Unlock,Hướng dẫn trò chơi
TooltipMessage/GameManualButton/Lock,Khóa cửa sổ: Hướng dẫn chơi game
TooltipMessage/GameManualItem/content/commandDetail/Lock,Lệnh tiếp theo chưa được mở khóa
GameManualItem/list/IntroGitCommand,Giới thiệu về lệnh Git
GameManualItem/list/git,git
GameManualItem/list/git init,git init
GameManualItem/list/git status,git status
GameManualItem/list/git add,thêm git
GameManualItem/list/git reset,thiết lập lại git
GameManualItem/list/git commit,git commit
GameManualItem/list/git log,git log
GameManualItem/list/git checkout,git checkout
GameManualItem/list/git branch,git branch
GameManualItem/list/git merge,hợp nhất git
GameManualItem/list/git clone,bản sao git
GameManualItem/list/git remote,git remote
GameManualItem/list/git push,đẩy git
GameManualItem/list/git pull,kéo git
GameManualItem/list/IntroGame,Cách chơi và mục tiêu
GameManualItem/list/IntroGameScore,Giới thiệu về Điểm trò chơi
GameManualItem/list/IntroGetPerfect,Làm thế nào để hoàn thành mục tiêu một cách hoàn hảo
GameManualItem/list/IntroAssistance,Tính năng hỗ trợ
GameManualItem/list/IntroGameManual,Cửa sổ giới thiệu: Hướng dẫn chơi game
GameManualItem/list/IntroFileManager,Giới thiệu cửa sổ: Trình quản lý tệp
GameManualItem/list/IntroFileContent,Cửa sổ giới thiệu: Nội dung tệp
GameManualItem/list/IntroResultsScreen,Cửa sổ giới thiệu: Màn hình kết quả
GameManualItem/list/IntroCommandLine,Giới thiệu cửa sổ: Dòng lệnh
GameManualItem/list/IntroStagingArea,Cửa sổ giới thiệu: Staging Area
GameManualItem/list/IntroCommitHistory,Cửa sổ giới thiệu: Lịch sử commit
GameManualItem/list/IssuesBackupFile,Sự cố với phương pháp Tệp sao lưu
GameManualItem/list/VersionControlAndGit,Kiểm soát phiên bản và Git
GameManualItem/list/.gitAndGitCoreAreas,Các lĩnh vực cốt lõi của .git và Git
GameManualItem/list/ProcessCreateCommit,Quy trình tạo commit
GameManualItem/list/RuleNameBranch,Nguyên tắc đặt tên chi nhánh
GameManualItem/list/RuleCommitMessage,Nguyên tắc của thông điệp commit
GameManualItem/list/DetachedHEAD,ĐẦU tách rời
GameManualItem/list/gitMergeModes,Hợp nhất các chế độ trong git merge
GameManualItem/list/ResolveMergeConflict,Giải quyết xung đột hợp nhất
GameManualItem/list/CheckBeforeMergeMainBrach,Chuẩn bị trước khi sáp nhập vào nhánh từ xa chính
