Common/None,Không có
SelfLeaderboard/TitleText,Kỷ lục cá nhân tốt nhất
SelfLeaderboard/ClearTimesText,- Số lần hoàn thành:
StageIntroductionPanel/Title,Giới thiệu màn chơi
StageIntroductionPanel/TitleText,Màn chơi:
StageIntroductionPanel/StageOverviewTitle,Tổng quan về màn chơi
StageIntroductionPanel/StageObjectivesTitle,Mục tiêu màn chơi
ModeSelectionPanel/Title,Lựa chọn chế độ
ModeSelectionPanel/TutorialModeButton,Chế độ hướng dẫn
ModeSelectionPanel/PracticeModeButton,Chế độ luyện tập
ModeSelectionPanel/BackToStageSelectionButton,Quay lại lựa chọn màn chơi
ModeSelectionPanel/PlayThisStage,Chơi màn này
TooltipMessage/TutorialModeDescription,"Trong Chế độ hướng dẫn,
văn bản hướng dẫn sẽ hướng dẫn bạn
để hoàn thành các mục tiêu chính trong các kịch bản mô phỏng."
TooltipMessage/PracticeModeDescription,"Trong Chế độ luyện tập,
bạn được yêu cầu phải đạt được các mục tiêu chính trong các tình huống mô phỏng một cách độc lập.
(Lưu ý: Trước tiên bạn phải xóa Chế độ hướng dẫn.)"
StageIntroductionPanel/StageOverview/Game Introduction,"Màn chơi 'Giới thiệu trò chơi' là điểm khởi đầu của bạn trong trò chơi hướng dẫn Git này.
Ở màn chơi này, bạn sẽ được làm quen với cách chơi và luật chơi cơ bản của trò chơi. 
Bạn sẽ làm quen với các thao tác và giao diện cơ bản của trò chơi bằng cách sử dụng phương pháp 'sao lưu tập tin'."
StageIntroductionPanel/StageObjective/Game Introduction,"1. Hiểu giao diện và thao tác trò chơi bằng cách chơi trò chơi thực tế.
2. Làm quen với môi trường trò chơi và cách chơi bằng phương pháp 'sao lưu tập tin'."
StageIntroductionPanel/StageOverview/Version Control and Git,"Trong màn chơi này, bạn sẽ tìm hiểu những kiến ​​thức cơ bản về kiểm soát phiên bản và Git. 
Màn chơi này sẽ tập trung vào:
Kiểm soát phiên bản và Git là gì? Và lợi ích của việc sử dụng chúng.
Màn chơi này không bao gồm các hoạt động thực tế, 
nhưng cuối bài có bài kiểm tra để ôn lại nội dung học."
StageIntroductionPanel/StageObjective/Version Control and Git,"1. Xem lại màn chơi trước và chỉ ra các vấn đề do 'sao lưu tập tin' gây ra.
2. Hiểu khái niệm cơ bản về kiểm soát phiên bản và những ưu điểm của nó.
3. Tìm hiểu Git là gì và lợi ích của việc sử dụng nó.
4. Nâng cao hiểu biết của bạn về kiểm soát phiên bản và Git bằng cách làm bài kiểm tra."
StageIntroductionPanel/StageOverview/Create Local Repository,"Trong màn chơi này, bạn sẽ tìm hiểu cách sử dụng giao diện dòng lệnh để tạo kho lưu trữ cục bộ Git đầu tiên của mình.
Thực hiện theo các văn bản hướng dẫn và hành động thực tế, 
tìm hiểu cách điều khiển giao diện dòng lệnh, thực thi các lệnh Git và hiểu các thành phần của Git cũng như quy trình làm việc của nó."
