StageTitle,"自動合併分支"
Story Background/Content/Story,"您是一位網頁設計師，最近正在建立自己的個人網站。
為了更有效地管理網站，您決定使用 Git 來管理專案。

您依照任務的類型和目的分配給多個分支，
最終，將已開發完成的分支合併到主分支中。

現在，請繼續開發網頁內容，並將完成的功能合併到主分支上。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"創建並切換到新的分支上
並更新 '提交記錄' 視窗"
Stage Quest/3,"在 'new-article' 分支上新增檔案內容"
Stage Quest/4,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/5,"切換到 'master' 分支
並更新 '提交記錄' 視窗"
Stage Quest/6,"合併 'new-design' 分支
並更新 '提交記錄' 視窗"
Stage Quest/7,"合併 'new-article' 分支
並更新 '提交記錄' 視窗"
Stage Quest/8,"刪除 'new-design'、'new-article' 分支
並更新 '提交記錄' 視窗"
DefaultData/Commit data/commitMessageList/0,"新增文章：Git 的三種合併模式"
DefaultData/Commit data/commitMessageList/1,"新增網頁文章"
DefaultData/Commit data/commitMessageList/2,"更新網頁"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
這個提交消息清晰且具有意義
它明確告訴開發者添加了哪篇文章"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
這個提交消息雖然提到了新增文章
但沒有提供新增文章的細節"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
訊息過於模糊！
沒有提供足夠的信息"
CommitHistoryData/File data/ListContent/0,"網頁基礎框架\a標題：Git 的三種合併模式"
CommitHistoryData/File data/ListContent/1,"字體：正黑體\n文字顏色：橙色"
CommitHistoryData/File data/ListFileName/0,"我的網頁.html"
CommitHistoryData/File data/ListFileName/1,"網頁樣式.css"
CommitHistoryData/File data/ListLocation/0,"我的網頁.html"
CommitHistoryData/File data/ListLocation/1,"網頁樣式.css"
CommitHistoryData/CommitMessage/1,"初始化網頁專案"
CommitHistoryData/CommitMessage/2,"新增文字字體和顏色至 '網頁樣式.css'"
AutoMergeData/Quest 7/ListContent/0,"網頁基礎框架\n標題： Git 的三種合併模式"
DefaultData/BranchName data/branchNameList/0,"new-article"
DefaultData/BranchName data/branchNameList/1,"new-article-in-my-website"
DefaultData/BranchName data/branchNameList/2,"new article"
DefaultData/BranchName data/branchNameReasonList/0,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字"
DefaultData/BranchName data/branchNameReasonList/1,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字
不合適：分支命名有些冗長"
DefaultData/BranchName data/branchNameReasonList/2,"命名分支分析：
合適：使用小寫英文字母
不合適：通過空格鍵來區分文字"
Quest Filter/Valider/Target File Name/0,"我的網頁.html"
