StageTitle,"審核與合併 Pull Request"
Story Background/Content/Story,"您是一位學生，
在課程 '專案管理' 中，
老師要求學生們幾個人組成一隊，共同開發一個網站。

您和團隊成員一同使用 Git 來管理專案，
每個人分別在自己的分支開發功能。

團隊成員 A 在自己創建的 'member-branch' 分支上，
新增 'README.md' 檔案內容。

他已完成開發並創建了 Pull Request 來要求合併，
您將作為審核人員來查看對方的修改內容。

現在，請您審核這份合併請求。
最後將 Pull Request 合併到 'master' 分支上吧。"
Stage Quest/1,"開啟 '瀏覽器' 視窗"
Stage Quest/2,"在 Pull Request 上新增修改建議"
Stage Quest/3,"批准 Pull Request"
Stage Quest/4,"合併 Pull Request"
NPCCommitData/NPC1,"團隊成員 A"
CommitHistoryData/File data/ListContent/1/v1,"# 購物網站專案"
CommitHistoryData/File data/ListContent/1/v2,"# 購物網站專案\n購物網站介紹"
CommitHistoryData/File data/ListContent/1/v3,"# 開心購物網 - 購物網站專案\n購物網站介紹"
CommitHistoryData/File data/ListContent/1/v4,"# 開心購物網 - 購物網站專案\n購物網站介紹\n建立網站原因：\n本網站是在 "程式設計" 課程中做出來的實作\n我們使用了 Git 來管理專案\n希望能通過團隊共同創建網站來加強城市能力"
CommitHistoryData/File data/ListContent/1/v5,"# 開心購物網 - 購物網站專案\n購物網站介紹\n建立網站原因：\n本網站是在 "程式設計" 課程中做出來的實作\n我們使用了 Git 來管理專案\n希望能通過團隊共同創建網站來加強程式能力"
CommitHistoryData/File data/ListLocation/0,"shopping-website"
CommitHistoryData/File data/ListLocation/1,"shopping-website\README.md"
CommitHistoryData/File data/ListLocation/2,"shopping-website\.git"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"新增 README 內容：購物網站介紹"
CommitHistoryData/CommitMessage/3,"更換 README 標題：增加購物網站專案名稱"
CommitHistoryData/CommitMessage/4,"新增 README 內容：建立網站原因"
CommitHistoryData/CommitMessage/5,"修正 README 內容：建立網站原因中的錯別字"
CommitHistoryData/File data/ListFileName/0,"shopping-website"
CommitHistoryData/File data/ListFileName/1,"README.md"
RepoQuestData/Repo Quest/PRTitle,"新增 README 內容: 網站名稱及建立原因"
RepoQuestData/Repo Quest/PRDes,"這個 Pull Request 包含了我在 "member-branch" 分支上所做的變更，
我新增了網站名稱 "開心購物網"，並增加了建立網站原因。"
BrowserWindow/PRDetailed/FileContent1,"# 開心購物網 - 購物網站專案"
BrowserWindow/PRDetailed/FileContent2,"購物網站介紹"
BrowserWindow/PRDetailed/FileContent3,"建立網站原因："
BrowserWindow/PRDetailed/FileContent4,"本網站是在 "程式設計" 課程中做出來的實作"
BrowserWindow/PRDetailed/FileContent5,"我們使用了 Git 來管理專案"
BrowserWindow/PRDetailed/FileContent6,"希望能通過團隊共同創建網站來加強城市能力"
BrowserWindow/PRDetailed/FileContent6(fixed),"希望能通過團隊共同創建網站來加強程式能力"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/MainContent,"您好，我注意到在 '建立網站原因' 內容裡出現了錯別字。
再請您修正一下。
謝謝。"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage1,"請您將 '城市' 改成 '程式'。"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage2,"謝謝您的建議，我會檢查並進行對應的修改。"
BrowserWindow/PRDetailed/Msg_2_ReviewChange(FileChange)/ReplyMessage3,"您好，我已經將錯別字問題解決。
如果還有其他需要改進的地方。
請隨時提出，謝謝。"
BrowserWindow/PRDetailed/Msg_3_ReviewChange(Approve)_Approve,"已審核並確認 'README.md' 內容沒有問題。
批准本次合併請求。"
