StageTitle,"Git 分支基礎教學"
Story Background/Content/Story,"您是一位剛加入的遊戲開發團隊成員，
團隊目前正在開發一款包含多個關卡的益智遊戲。

作為您的第一個任務，您被要求在關卡模板上設計新的內容。
這樣能讓您理解團隊成員是如何設計遊戲的。
為了遵從正確的開發原則，開發者應該在自己的分支上開發功能。

試著建立一個新的分支，然後嘗試設計新的關卡吧。"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"在最新的提交上創建分支"
Stage Quest/3,"確認 '提交記錄' 視窗的狀態"
Stage Quest/4,"查看本地儲存庫中的所有分支"
Stage Quest/5,"切換到新創建的分支
並更新 '提交記錄' 視窗"
Stage Quest/6,"在新的分支上設計測試關卡"
Stage Quest/7,"創建新的提交，並更新 '提交記錄' 視窗"
Stage Quest/8,"切換到 'master' 分支
並更新 '提交記錄' 視窗"
Stage Quest/9,"刪除新創建的分支
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListFileName/0,"遊戲專案"
CommitHistoryData/File data/ListLocation/0,"遊戲專案"
CommitHistoryData/File data/ListContent/1,"遊戲標題\n關卡選擇\n讀取關卡\n遊戲操作"
CommitHistoryData/File data/ListLocation/1,"遊戲專案\遊戲主程式.c"
CommitHistoryData/File data/ListFileName/1,"遊戲主程式.c"
CommitHistoryData/File data/ListFileName/2,"遊戲場景"
CommitHistoryData/File data/ListContent/2,"遊戲專案\遊戲場景"
CommitHistoryData/File data/ListLocation/2,"遊戲專案\遊戲場景"
CommitHistoryData/File data/ListContent/3,"關卡名稱：遊戲教學\n關卡目標\n關卡設計"
CommitHistoryData/File data/ListFileName/3,"關卡1-1.scene"
CommitHistoryData/File data/ListLocation/3,"遊戲專案\遊戲場景\關卡1-1.scene"
CommitHistoryData/File data/ListContent/4,"關卡名稱：新的挑戰\n關卡目標\n關卡設計"
CommitHistoryData/File data/ListFileName/4,"關卡1-2.scene"
CommitHistoryData/File data/ListLocation/4,"遊戲專案\遊戲場景\關卡1-2.scene"
CommitHistoryData/File data/ListContent/5,"關卡名稱：隊員加入\n關卡目標\n關卡設計"
CommitHistoryData/File data/ListFileName/5,"關卡1-3.scene"
CommitHistoryData/File data/ListLocation/5,"遊戲專案\遊戲場景\關卡1-3.scene"
CommitHistoryData/File data/ListContent/6,"關卡名稱\n關卡目標\a您的關卡設計"
CommitHistoryData/File data/ListFileName/6,"測試關卡.scene"
CommitHistoryData/File data/ListLocation/6,"遊戲專案\遊戲場景\測試關卡.scene"
CommitHistoryData/File data/ListLocation/7,"遊戲專案\.git"
CommitHistoryData/CommitMessage/1,"初始化益智遊戲專案"
CommitHistoryData/CommitMessage/2,"關卡 1-1 設計完成"
CommitHistoryData/CommitMessage/3,"關卡 1-2 設計完成"
CommitHistoryData/CommitMessage/4,"關卡 1-3 設計完成"
Quest Tracker/StagingStatusData/ListLocation/0,"課程資料夾\Git學習日記.txt"
Quest Filter/Valider/Target File Name/0,"測試關卡.scene"
Quest Filter/Valider/Target File Name/0,"測試關卡.scene"
DefaultData/Commit data/commitMessageList/0,"新的遊戲場景 - 測試關卡"
DefaultData/Commit data/commitMessageList/1,"新建一個提交"
DefaultData/Commit data/commitMessageList/2,"增加遊戲內容"
DefaultData/Commit data/commitMessageReasonList/0,"提交訊息分析：
明確指出此提交新建了新的遊戲場景"
DefaultData/Commit data/commitMessageReasonList/1,"提交訊息分析：
提交訊息過於簡單"
DefaultData/Commit data/commitMessageReasonList/2,"提交訊息分析：
沒有提到增加的內容細節"
DefaultData/BranchName data/branchNameList/0,"new-test-level"
DefaultData/BranchName data/branchNameList/1,"level"
DefaultData/BranchName data/branchNameList/2,"NewLevel"
DefaultData/BranchName data/branchNameReasonList/0,"命名分支分析：
合適：使用小寫英文字母，並使用 '-' 符號區分單字"
DefaultData/BranchName data/branchNameReasonList/1,"命名分支分析：
合適：使用小寫英文字母
不合適：過於單調，可能造成其他開發者的混淆"
DefaultData/BranchName data/branchNameReasonList/2,"命名分支分析：
不合適：部分使用大寫英文字母"
NPCCommitData/NPC1,"同事 A"
NPCCommitData/NPC2,"同事 B"
NPCCommitData/NPC3,"同事 C"
