StageSelect/Common/StageTitle,"關卡："
StageCategoryButton/Basic/CategoryText,"主題關卡: Git 的基礎"
StageCategoryButton/Branch/CategoryText,"主題關卡: 分支管理"
StageCategoryButton/Remote/CategoryText,"主題關卡: 遠端管理"
StageCategoryButton/Common/StageCompletionText,"關卡完成度："
PlayerGameRecordsWindow/Title,"遊 戲 記 錄"
PlayerGameRecordsWindow/PlayerTitle,"Git 學習者資料"
PlayerGameRecordsWindow/PlayerContentTitle,"學習者名稱："
PlayerGameRecordsWindow/MainRecordsTitle,"遊戲歷程"
PlayerGameRecordsWindow/MainRecordsContent/GameProgress,"遊戲完成度"
PlayerGameRecordsWindow/MainRecordsContent/TotalScore,"遊戲總得分"
PlayerGameRecordsWindow/MainRecordsContent/TotalTime,"遊戲總時長"
PlayerGameRecordsWindow/MainRecordsContent/TotalStar,"總獲得星數"
PlayerGameRecordsWindow/OtherRecordsTitle,"其 他 記 錄"
PlayerGameRecordsWindow/OtherRecordsContent/ClearStageTimes,"通過關卡次數"
PlayerGameRecordsWindow/OtherRecordsContent/GameManualUsedTimes,"查看遊戲手冊次數"
PlayerGameRecordsWindow/OtherRecordsContent/CommandExecutedTimes,"指令執行次數"
PlayerGameRecordsWindow/OtherRecordsContent/Perfect,"達成目標次數（完美）"
PlayerGameRecordsWindow/OtherRecordsContent/Good,"達成目標次數（良好）"
PlayerGameRecordsWindow/OtherRecordsContent/Hint,"達成目標次數（提示）"
PlayerGameRecordsWindow/OtherRecordsContent/Answer,"達成目標次數（解答）"
TooltipMessage/MainToolBar/PlayerGameRecordsButton,"玩家遊戲記錄"
TooltipMessage/MainToolBar/ReturnToTitleScreenButton,"回到主選單"
TooltipMessage/MainToolBar/BackToStageCategoryButton,"返回"
StageItemButton/DetailedPopup/Game Introduction,"遊戲介紹"
StageItemButton/DetailedPopup/Version Control and Git,"版本控制與 Git 的介紹"
StageItemButton/DetailedPopup/Create Local Repository,"創建您的第一個本地儲存庫"
StageItemButton/DetailedPopup/Basic Staging Area,"Git 暫存區域的基礎操作"
StageItemButton/DetailedPopup/Advanced Staging Area,"Git 暫存區域的進階操作"
StageItemButton/DetailedPopup/Creating First Version,"創建您的第一個 Git 專案版本"
StageItemButton/DetailedPopup/Switching Project Versions,"切換專案版本"
StageItemButton/DetailedPopup/Git Branching Basics,"Git 分支基礎教學"
StageItemButton/DetailedPopup/Fast-Forward Merging,"快進合併分支"
StageItemButton/DetailedPopup/Auto Merging,"自動合併分支"
StageItemButton/DetailedPopup/Merge Conflicts,"解決合併衝突"
StageItemButton/DetailedPopup/Create Remote Repository,"創建您的第一個遠端儲存庫"
StageItemButton/DetailedPopup/Push to Remote Branches,"創建與推送遠端分支"
StageItemButton/DetailedPopup/Keep Branches in Sync,"保持分支同步"
StageItemButton/DetailedPopup/Preparation for Merging,"合併前的確認"
StageItemButton/DetailedPopup/Creating a Pull Request,"創建 Pull Request"
StageItemButton/DetailedPopup/Review and Merge Pull Requests,"審核與合併 Pull Request"
